Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP,VarOpex2025,AnnualVariableOperatingCost
LTS,9,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,,,,114.71,113.154,,113.154,,,,,,,,,,,,,,,139.4307,,,,0.0016868125404387,0.0016868125404387,,,
LTS,9,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,,,,142.986,137.245,,137.245,,,,,,,,,,,,,,,165.5242,,,,0.0020243225642042,0.0020243225642042,,,
LTS,9,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,,,,135.5,126.554,,126.554,,,,,,,,,,,,,,,149.3888,,,,0.0019479305932922,0.0019479305932922,,,
LTS,9,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,,,,132.795,120.684,,120.684,,,,,,,,,,,,,,,139.4348,,,,0.0018444868220135,0.0018444868220135,,,
LTS,9,,DIST_DSL,,2025,,6.86415,6.86415,6.86415,6.86415,,,,,,,136.627,120.82,,120.82,,,,,,,,,,,,,,,136.627,,,,0.0018335384261146,0.0018335384261146,,,
LTS,9,,DIST_DSL,,2026,,7.02958,7.02958,7.02958,7.02958,,,,,,,141.816,122.028,,122.028,,,,,,,,,,,,,,,135.0629,,,,0.0018388165514358,0.0018388165514358,,,
LTS,9,,DIST_DSL,,2027,,7.40565,7.40565,7.40565,7.40565,,,,,,,151.555,126.893,,126.893,,,,,,,,,,,,,,,137.4649,,,,0.0018986422037443,0.0018986422037443,,,
LTS,9,,DIST_DSL,,2028,,7.68468,7.68468,7.68468,7.68468,,,,,,,159.499,129.946,,129.946,,,,,,,,,,,,,,,137.7812,,,,0.001930592056009,0.001930592056009,,,
LTS,9,,DIST_DSL,,2029,,8.02277,8.02277,8.02277,8.02277,,,,,,,168.849,133.855,,133.855,,,,,,,,,,,,,,,138.9125,,,,0.0019746527393968,0.0019746527393968,,,
LTS,9,,DIST_DSL,,2030,,8.3261,8.3261,8.3261,8.3261,,,,,,,177.653,137.039,,137.039,,,,,,,,,,,,,,,139.1958,,,,0.0020073563389554,0.0020073563389554,,,
LTS,9,,DIST_DSL,,2031,,8.32868,8.32868,8.32868,8.32868,,,,,,,180.129,135.204,,135.204,,,,,,,,,,,,,,,134.415,,,,0.0019665059053012,0.0019665059053012,,,
LTS,9,,DIST_DSL,,2032,,8.31212,8.31212,8.31212,8.31212,,,,,,,182.187,133.062,,133.062,,,,,,,,,,,,,,,129.4769,,,,0.0019217137179703,0.0019217137179703,,,
LTS,9,,DIST_DSL,,2033,,8.2517,8.2517,8.2517,8.2517,,,,,,,183.261,130.239,,130.239,,,,,,,,,,,,,,,124.0383,,,,0.0018676738869222,0.0018676738869222,,,
LTS,9,,DIST_DSL,,2034,,8.2213,8.2213,8.2213,8.2213,,,,,,,184.976,127.914,,127.914,,,,,,,,,,,,,,,119.2372,,,,0.0018214030830338,0.0018214030830338,,,
LTS,9,,DIST_DSL,,2035,,8.19077,8.19077,8.19077,8.19077,,,,,,,186.67,125.607,,125.607,,,,,,,,,,,,,,,114.5992,,,,0.0017759261406685,0.0017759261406685,,,
LTS,9,,DIST_DSL,,2036,,8.15168,8.15168,8.15168,8.15168,,,,,,,188.149,123.189,,123.189,,,,,,,,,,,,,,,110.0068,,,,0.0017294657894978,0.0017294657894978,,,
LTS,9,,DIST_DSL,,2037,,8.11128,8.11128,8.11128,8.11128,,,,,,,189.574,120.777,,120.777,,,,,,,,,,,,,,,105.5619,,,,0.0016836372425192,0.0016836372425192,,,
LTS,9,,DIST_DSL,,2038,,8.08752,8.08752,8.08752,8.08752,,,,,,,191.37,118.635,,118.635,,,,,,,,,,,,,,,101.4876,,,,0.001642113970281,0.001642113970281,,,
LTS,9,,DIST_DSL,,2039,,8.08705,8.08705,8.08705,8.08705,,,,,,,193.71,116.849,,116.849,,,,,,,,,,,,,,,97.8367,,,,0.0016059838328313,0.0016059838328313,,,
LTS,9,,DIST_DSL,,2040,,8.07918,8.07918,8.07918,8.07918,,,,,,,195.87,114.967,,114.967,,,,,,,,,,,,,,,94.2168,,,,0.0015689775883482,0.0015689775883482,,,
LTS,9,,DIST_DSL,,2041,,8.22916,8.22916,8.22916,8.22916,,,,,,,201.898,115.311,,115.311,,,,,,,,,,,,,,,92.4918,,,,0.0015625737436206,0.0015625737436206,,,
LTS,9,,DIST_DSL,,2042,,8.33367,8.33367,8.33367,8.33367,,,,,,,206.885,114.975,,114.975,,,,,,,,,,,,,,,90.2632,,,,0.0015470245234029,0.0015470245234029,,,
LTS,9,,DIST_DSL,,2043,,8.48604,8.48604,8.48604,8.48604,,,,,,,213.135,115.255,,115.255,,,,,,,,,,,,,,,88.562,,,,0.0015398650310868,0.0015398650310868,,,
LTS,9,,DIST_DSL,,2044,,8.59496,8.59496,8.59496,8.59496,,,,,,,218.369,114.903,,114.903,,,,,,,,,,,,,,,86.416,,,,0.0015243284575796,0.0015243284575796,,,
LTS,9,,DIST_DSL,,2045,,8.69028,8.69028,8.69028,8.69028,,,,,,,223.316,114.339,,114.339,,,,,,,,,,,,,,,84.1655,,,,0.0015061460991479,0.0015061460991479,,,
LTS,9,,DIST_DSL,,2046,,8.79403,8.79403,8.79403,8.79403,,,,,,,228.538,113.859,,113.859,,,,,,,,,,,,,,,82.032,,,,0.0014892423312072,0.0014892423312072,,,
LTS,9,,DIST_DSL,,2047,,8.89792,8.89792,8.89792,8.89792,,,,,,,233.825,113.353,,113.353,,,,,,,,,,,,,,,79.933,,,,0.0014721687066476,0.0014721687066476,,,
LTS,9,,DIST_DSL,,2048,,9.00822,9.00822,9.00822,9.00822,,,,,,,239.342,112.9,,112.9,,,,,,,,,,,,,,,77.9229,,,,0.0014559459191537,0.0014559459191537,,,
LTS,9,,DIST_DSL,,2049,,9.09898,9.09898,9.09898,9.09898,,,,,,,244.399,112.178,,112.178,,,,,,,,,,,,,,,75.7803,,,,0.0014364332225901,0.0014364332225901,,,
LTS,9,,DIST_DSL,,2050,,9.16883,9.16883,9.16883,9.16883,,,,,,,248.94,111.183,,111.183,,,,,,,,,,,,,,,73.5127,,,,0.0014136450951121,0.0014136450951121,,,
LTS,9,,DIST_DSL,,2051,,9.37118,9.37118,9.37118,9.37118,,,,,,,257.158,111.758,,111.758,,,,,,,,,,,,,,,72.3233,,,,0.0014109298895249,0.0014109298895249,,,
LTS,9,,DIST_DSL,,2052,,9.58684,9.58684,9.58684,9.58684,,,,,,,265.863,112.426,,112.426,,,,,,,,,,,,,,,71.211,,,,0.0014093633843483,0.0014093633843483,,,
LTS,9,,DIST_DSL,,2053,,9.81525,9.81525,9.81525,9.81525,,,,,,,275.051,113.176,,113.176,,,,,,,,,,,,,,,70.1638,,,,0.0014087632062699,0.0014087632062699,,,
LTS,9,,DIST_DSL,,2054,,10.0399,10.0399,10.0399,10.0399,,,,,,,284.265,113.815,,113.815,,,,,,,,,,,,,,,69.0611,,,,0.0014067206139116,0.0014067206139116,,,
LTS,9,,DIST_DSL,,2055,,10.2479,10.2479,10.2479,10.2479,,,,,,,293.134,114.203,,114.203,,,,,,,,,,,,,,,67.8246,,,,0.0014015556422245,0.0014015556422245,,,
LTS,9,,DIST_GSL,,2021,,15.9914,15.9914,15.9914,15.9914,,,,,,,388.333,383.064,,383.064,,,,,,,,,,,,,,,472.0212,,,,0.0057104435033233,0.0057104435033233,,,
LTS,9,,DIST_GSL,,2022,,19.516,19.516,19.516,19.516,,,,,,,473.922,454.891,,454.891,,,,,,,,,,,,,,,548.624,,,,0.006709544978339,0.006709544978339,,,
LTS,9,,DIST_GSL,,2023,,20.3964,20.3964,20.3964,20.3964,,,,,,,433.542,404.916,,404.916,,,,,,,,,,,,,,,477.9801,,,,0.0062325440979859,0.0062325440979859,,,
LTS,9,,DIST_GSL,,2024,,20.8674,20.8674,20.8674,20.8674,,,,,,,402.721,365.993,,365.993,,,,,,,,,,,,,,,422.8571,,,,0.0055936863394565,0.0055936863394565,,,
LTS,9,,DIST_GSL,,2025,,21.352,21.352,21.352,21.352,,,,,,,384.913,340.38,,340.38,,,,,,,,,,,,,,,384.913,,,,0.0051655439716239,0.0051655439716239,,,
LTS,9,,DIST_GSL,,2026,,19.1405,19.1405,19.1405,19.1405,,,,,,,345.65,297.421,,297.421,,,,,,,,,,,,,,,329.1905,,,,0.0044817717394638,0.0044817717394638,,,
LTS,9,,DIST_GSL,,2027,,17.6596,17.6596,17.6596,17.6596,,,,,,,322.839,270.305,,270.305,,,,,,,,,,,,,,,292.8245,,,,0.004044444263895,0.004044444263895,,,
LTS,9,,DIST_GSL,,2028,,16.1792,16.1792,16.1792,16.1792,,,,,,,299.374,243.903,,243.903,,,,,,,,,,,,,,,258.6105,,,,0.0036236532277672,0.0036236532277672,,,
LTS,9,,DIST_GSL,,2029,,14.6988,14.6988,14.6988,14.6988,,,,,,,275.254,218.207,,218.207,,,,,,,,,,,,,,,226.4521,,,,0.0032190363290866,0.0032190363290866,,,
LTS,9,,DIST_GSL,,2030,,13.2276,13.2276,13.2276,13.2276,,,,,,,250.647,193.344,,193.344,,,,,,,,,,,,,,,196.3885,,,,0.002832138181118,0.002832138181118,,,
LTS,9,,DIST_GSL,,2031,,12.979,12.979,12.979,12.979,,,,,,,248.825,186.766,,186.766,,,,,,,,,,,,,,,185.677,,,,0.002716474481547,0.002716474481547,,,
LTS,9,,DIST_GSL,,2032,,12.7133,12.7133,12.7133,12.7133,,,,,,,246.56,180.078,,180.078,,,,,,,,,,,,,,,175.2256,,,,0.0026007219741406,0.0026007219741406,,,
LTS,9,,DIST_GSL,,2033,,12.4619,12.4619,12.4619,12.4619,,,,,,,244.458,173.73,,173.73,,,,,,,,,,,,,,,165.4588,,,,0.0024913528958657,0.0024913528958657,,,
LTS,9,,DIST_GSL,,2034,,12.1546,12.1546,12.1546,12.1546,,,,,,,241.134,166.749,,166.749,,,,,,,,,,,,,,,155.4371,,,,0.0023743740324382,0.0023743740324382,,,
LTS,9,,DIST_GSL,,2035,,11.8265,11.8265,11.8265,11.8265,,,,,,,237.258,159.646,,159.646,,,,,,,,,,,,,,,145.6558,,,,0.0022572062156893,0.0022572062156893,,,
LTS,9,,DIST_GSL,,2036,,11.5871,11.5871,11.5871,11.5871,,,,,,,235.033,153.887,,153.887,,,,,,,,,,,,,,,137.4189,,,,0.0021604235627244,0.0021604235627244,,,
LTS,9,,DIST_GSL,,2037,,11.3164,11.3164,11.3164,11.3164,,,,,,,232.062,147.846,,147.846,,,,,,,,,,,,,,,129.2208,,,,0.0020609800171621,0.0020609800171621,,,
LTS,9,,DIST_GSL,,2038,,10.924,10.924,10.924,10.924,,,,,,,226.445,140.379,,140.379,,,,,,,,,,,,,,,120.0886,,,,0.0019430866802544,0.0019430866802544,,,
