Strategy,Future.ID,Year,Fuel,SpecifiedAnnualDemand
BAU,0,2021,E5TRODSL,9.325291
BAU,0,2021,E5TROELE,0.0
BAU,0,2021,E5TROFOI,0.0144
BAU,0,2021,E5TROGSL,20.866542999999997
BAU,0,2022,E5TRODSL,10.088478
BAU,0,2022,E5TROELE,0.0
BAU,0,2022,E5TROFOI,0.0156
BAU,0,2022,E5TROGSL,22.576072000000003
BAU,0,2023,E5TRODSL,10.558755
BAU,0,2023,E5TROELE,0.0
BAU,0,2023,E5TROFOI,0.0163036
BAU,0,2023,E5TROGSL,23.629731999999997
BAU,0,2024,E5TRODSL,10.762739
BAU,0,2024,E5TROELE,0.0
BAU,0,2024,E5TROFOI,0.0165251
BAU,0,2024,E5TROGSL,24.08268
BAU,0,2025,E5TRODSL,10.970853
BAU,0,2025,E5TROELE,0.0
BAU,0,2025,E5TROFOI,0.0169
BAU,0,2025,E5TROGSL,24.54921
BAU,0,2026,E5TRODSL,11.139698000000001
BAU,0,2026,E5TROELE,0.0082476
BAU,0,2026,E5TROFOI,0.030514
BAU,0,2026,E5TROGSL,24.925079999999998
BAU,0,2027,E5TRODSL,11.306796
BAU,0,2027,E5TROELE,0.0160812
BAU,0,2027,E5TROFOI,0.0446376
BAU,0,2027,E5TROGSL,25.29966
BAU,0,2028,E5TRODSL,11.470254
BAU,0,2028,E5TROELE,0.0247572
BAU,0,2028,E5TROFOI,0.0593
BAU,0,2028,E5TROGSL,25.671619999999997
BAU,0,2029,E5TRODSL,11.636932999999999
BAU,0,2029,E5TROELE,0.0336384
BAU,0,2029,E5TROFOI,0.0744
BAU,0,2029,E5TROGSL,26.03545
BAU,0,2030,E5TRODSL,11.804658
BAU,0,2030,E5TROELE,0.0428292
BAU,0,2030,E5TROFOI,0.0900176
BAU,0,2030,E5TROGSL,26.392770000000002
BAU,0,2031,E5TRODSL,11.995026
BAU,0,2031,E5TROELE,0.0546444
BAU,0,2031,E5TROFOI,0.1063
BAU,0,2031,E5TROGSL,26.78606
BAU,0,2032,E5TRODSL,12.182176
BAU,0,2032,E5TROELE,0.0668484
BAU,0,2032,E5TROFOI,0.123201
BAU,0,2032,E5TROGSL,27.174670000000003
BAU,0,2033,E5TRODSL,12.368623
BAU,0,2033,E5TROELE,0.07944119999999999
BAU,0,2033,E5TROFOI,0.140743
BAU,0,2033,E5TROGSL,27.55782
BAU,0,2034,E5TRODSL,12.553517
BAU,0,2034,E5TROELE,0.09235080000000001
BAU,0,2034,E5TROFOI,0.1587
BAU,0,2034,E5TROGSL,27.937280000000005
BAU,0,2035,E5TRODSL,12.736704
BAU,0,2035,E5TROELE,0.1060776
BAU,0,2035,E5TROFOI,0.177327
BAU,0,2035,E5TROGSL,28.31122
