,X_E_1,X_E_2,X_E_3,X_E_4,X_E_5,X_E_6,X_E_7,X_P_8,X_P_9,X_P_10,X_P_11,X_P_12,X_E_13,X_E_14
Future_1,0.9772481337243397,0.0703145850284406,0.4399942057293118,0.5285099014135665,0.9279395292295028,0.25092877635145927,0.3482145447202397,0.6009355746057539,0.5129043412997588,0.6950593165417813,0.2994632157600508,0.4537574690007195,0.7236278718453839,0.4388771423218969
Future_2,0.7220158454688741,0.09580617158538264,0.1303619065267304,0.9448509110229678,0.9649212106632493,0.8654320238622047,0.8610147906542814,0.5807812333477993,0.49755692426903164,0.4783601825475161,0.7354519530752958,0.8546760233486295,0.2575516178707646,0.2188254074651418
Future_3,0.4596904161196413,0.23300351443661,0.22410036935183947,0.790646961745666,0.21891912244996392,0.8589810432572483,0.3730894686629739,0.30660969207216765,0.12751508655327282,0.13659043220771258,0.03371535104315082,0.42747929681179553,0.5625002391734051,0.18094245303368436
Future_4,0.14840334079251213,0.4791984588287558,0.7182018076075035,0.21242950420536155,0.2764697153119363,0.5841154921053459,0.9465059327548013,0.26567457746129364,0.13957507084416632,0.2600004123466425,0.37747827566623304,0.8480779134200573,0.6675651499496127,0.8175311311807999
Future_5,0.06752632770825846,0.3222095294760438,0.08207009576293484,0.438183773689086,0.6039167275442232,0.7555861582366304,0.19620784283935658,0.04792288645435971,0.8384774488131929,0.45433902003199794,0.9275929046003167,0.12320039748215218,0.5557366153867089,0.6763902674568001
Future_6,0.8999404111866887,0.8724342944639882,0.7800540056930911,0.5571255768417122,0.3664697613132819,0.33559167113945515,0.4869972932973352,0.2954269216465653,0.7632262209075512,0.04159693564838023,0.08972259375970922,0.5614076193038385,0.4386580713287571,0.5041412769715918
Future_7,0.4408883136750495,0.7044398364560968,0.905800209129565,0.35864365181677893,0.7044594855977266,0.976198590460395,0.26523006631503154,0.9139629247210984,0.07289442403066859,0.7305935497907698,0.5851824683911521,0.9079326146373667,0.36970281023820284,0.22570290483817848
Future_8,0.7052540914298197,0.7691337862939618,0.06591753381180498,0.4400426412706008,0.20031186113516525,0.20007455264802962,0.2314231505901012,0.7625163384905742,0.08383992268386112,0.3579707540851628,0.1694164215800668,0.11918551003214749,0.026133624554507587,0.014112445121629576
Future_9,0.0392862212148585,0.6983854332870565,0.6868618579924602,0.11749798501513595,0.19853605162418103,0.8408425060679947,0.24140315645185223,0.9986040519657271,0.1648914615330101,0.9063208836819956,0.8985462268656073,0.6169148254835864,0.18571516828420676,0.7140909956489333
Future_10,0.026290617468955096,0.8025257947936112,0.8423091708253446,0.4061418833754578,0.37952250770495927,0.29192110472737465,0.009459191809574767,0.4409697526293019,0.44680235189808354,0.7198450025762776,0.7921545820225065,0.09500568602491923,0.13384851966788772,0.3661761516674951
