Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
BAU,0,,DIST_DSL,,2021,,6.06375,6.06375,6.06375,6.06375,,,,114.712,111.947,,,111.947,,,,,,139.6457,,Energy
BAU,0,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,142.986,132.896,,,132.896,,,,,,165.7134,,Energy
BAU,0,,DIST_DSL,,2023,,6.89843,6.89843,6.89843,6.89843,,,,135.499,119.94,,,119.94,,,,,,149.5015,,Energy
BAU,0,,DIST_DSL,,2024,,6.69999,6.69999,6.69999,6.69999,,,,132.796,111.95,,,111.95,,,,,,139.4889,,Energy
BAU,0,,DIST_DSL,,2025,,6.94229,6.94229,6.94229,6.94229,,,,138.182,110.943,,,110.943,,,,,,138.182,,Energy
BAU,0,,DIST_DSL,,2026,,7.06684,7.06684,7.06684,7.06684,,,,140.513,107.442,,,107.442,,,,,,133.7709,,Energy
BAU,0,,DIST_DSL,,2027,,7.26762,7.26762,7.26762,7.26762,,,,145.573,106.011,,,106.011,,,,,,131.9385,,Energy
BAU,0,,DIST_DSL,,2028,,7.46476,7.46476,7.46476,7.46476,,,,150.776,104.571,,,104.571,,,,,,130.0972,,Energy
BAU,0,,DIST_DSL,,2029,,7.66512,7.66512,7.66512,7.66512,,,,157.156,103.806,,,103.806,,,,,,129.0958,,Energy
BAU,0,,DIST_DSL,,2030,,7.86653,7.86653,7.86653,7.86653,,,,162.525,102.24,,,102.24,,,,,,127.1003,,Energy
BAU,0,,DIST_DSL,,2031,,8.09321,8.09321,8.09321,8.09321,,,,169.247,101.399,,,101.399,,,,,,126.0064,,Energy
BAU,0,,DIST_DSL,,2032,,8.31668,8.31668,8.31668,8.31668,,,,175.579,100.184,,,100.184,,,,,,124.4485,,Energy
BAU,0,,DIST_DSL,,2033,,8.53944,8.53944,8.53944,8.53944,,,,182.433,99.1375,,,99.1375,,,,,,123.1022,,Energy
BAU,0,,DIST_DSL,,2034,,8.76065,8.76065,8.76065,8.76065,,,,189.459,98.0526,,,98.0526,,,,,,121.709,,Energy
BAU,0,,DIST_DSL,,2035,,8.98016,8.98016,8.98016,8.98016,,,,195.337,96.2809,,,96.2809,,,,,,119.4641,,Energy
BAU,0,,DIST_DSL,,2036,,9.25556,9.25556,9.25556,9.25556,,,,202.591,95.1013,,,95.1013,,,,,,117.9555,,Energy
BAU,0,,DIST_DSL,,2037,,9.55843,9.55843,9.55843,9.55843,,,,213.636,95.5103,,,95.5103,,,,,,118.418,,Energy
