Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,0,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,114.71,111.946,,,111.946,,,,,,139.6433,,Energy
LTS,0,,DIST_DSL,,2022,,7.38626,7.38626,7.38626,7.38626,,,,142.987,132.896,,,132.896,,,,,,165.7146,,Energy
LTS,0,,DIST_DSL,,2023,,6.89854,6.89854,6.89854,6.89854,,,,135.501,119.942,,,119.942,,,,,,149.5037,,Energy
LTS,0,,DIST_DSL,,2024,,6.69988,6.69988,6.69988,6.69988,,,,132.794,111.948,,,111.948,,,,,,139.4868,,Energy
LTS,0,,DIST_DSL,,2025,,6.8642,6.8642,6.8642,6.8642,,,,136.628,109.695,,,109.695,,,,,,136.628,,Energy
LTS,0,,DIST_DSL,,2026,,7.0296,7.0296,7.0296,7.0296,,,,139.772,106.876,,,106.876,,,,,,133.0655,,Energy
LTS,0,,DIST_DSL,,2027,,7.22958,7.22958,7.22958,7.22958,,,,144.811,105.456,,,105.456,,,,,,131.2478,,Energy
LTS,0,,DIST_DSL,,2028,,7.2298,7.2298,7.2298,7.2298,,,,146.03,101.28,,,101.28,,,,,,126.0021,,Energy
LTS,0,,DIST_DSL,,2029,,7.2652,7.2652,7.2652,7.2652,,,,148.957,98.3902,,,98.3902,,,,,,122.3607,,Energy
LTS,0,,DIST_DSL,,2030,,7.2478,7.2478,7.2478,7.2478,,,,149.742,94.1986,,,94.1986,,,,,,117.1036,,Energy
LTS,0,,DIST_DSL,,2031,,7.2169,7.2169,7.2169,7.2169,,,,150.921,90.4196,,,90.4196,,,,,,112.3625,,Energy
LTS,0,,DIST_DSL,,2032,,7.1722,7.1722,7.1722,7.1722,,,,151.417,86.397,,,86.397,,,,,,107.3227,,Energy
