Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
BAU,78,,DIST_DSL,,2021,,6.04818,6.04818,6.04818,6.04818,,,,114.417,112.865,,,112.865,,,,,,139.0746,,Energy
BAU,78,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,142.986,137.245,,,137.245,,,,,,165.5242,,Energy
BAU,78,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,135.5,126.554,,,126.554,,,,,,149.3888,,Energy
BAU,78,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,132.795,120.684,,,120.684,,,,,,139.4348,,Energy
BAU,78,,DIST_DSL,,2025,,6.94212,6.94212,6.94212,6.94212,,,,138.179,122.192,,,122.192,,,,,,138.179,,Energy
BAU,78,,DIST_DSL,,2026,,7.0667,7.0667,7.0667,7.0667,,,,144.534,124.367,,,124.367,,,,,,137.6514,,Energy
BAU,78,,DIST_DSL,,2027,,7.38771,7.38771,7.38771,7.38771,,,,155.305,130.033,,,130.033,,,,,,140.8662,,Energy
BAU,78,,DIST_DSL,,2028,,7.79015,7.79015,7.79015,7.79015,,,,168.201,137.035,,,137.035,,,,,,145.2983,,Energy
BAU,78,,DIST_DSL,,2029,,8.20467,8.20467,8.20467,8.20467,,,,181.823,144.14,,,144.14,,,,,,149.5862,,Energy
BAU,78,,DIST_DSL,,2030,,8.62686,8.62686,8.62686,8.62686,,,,196.09,151.26,,,151.26,,,,,,153.6416,,Energy
BAU,78,,DIST_DSL,,2031,,9.08096,9.08096,9.08096,9.08096,,,,211.583,158.812,,,158.812,,,,,,157.8865,,Energy
BAU,78,,DIST_DSL,,2032,,9.53998,9.53998,9.53998,9.53998,,,,227.71,166.31,,,166.31,,,,,,161.8292,,Energy
BAU,78,,DIST_DSL,,2033,,10.0052,10.0052,10.0052,10.0052,,,,244.511,173.767,,,173.767,,,,,,165.4947,,Energy
BAU,78,,DIST_DSL,,2034,,10.4746,10.4746,10.4746,10.4746,,,,261.946,181.141,,,181.141,,,,,,168.8527,,Energy
BAU,78,,DIST_DSL,,2035,,10.95,10.95,10.95,10.95,,,,280.069,188.453,,,188.453,,,,,,171.9381,,Energy
BAU,78,,DIST_DSL,,2036,,11.4949,11.4949,11.4949,11.4949,,,,300.552,196.784,,,196.784,,,,,,175.7265,,Energy
BAU,78,,DIST_DSL,,2037,,12.0981,12.0981,12.0981,12.0981,,,,323.211,205.916,,,205.916,,,,,,179.976,,Energy
BAU,78,,DIST_DSL,,2038,,12.6555,12.6555,12.6555,12.6555,,,,345.308,214.065,,,214.065,,,,,,183.1242,,Energy
BAU,78,,DIST_DSL,,2039,,13.2215,13.2215,13.2215,13.2215,,,,368.28,222.152,,,222.152,,,,,,186.0064,,Energy
BAU,78,,DIST_DSL,,2040,,13.7928,13.7928,13.7928,13.7928,,,,392.044,230.113,,,230.113,,,,,,188.5799,,Energy
BAU,78,,DIST_DSL,,2041,,14.5553,14.5553,14.5553,14.5553,,,,422.007,241.023,,,241.023,,,,,,193.3263,,Energy
BAU,78,,DIST_DSL,,2042,,15.3328,15.3328,15.3328,15.3328,,,,453.28,251.907,,,251.907,,,,,,197.7646,,Energy
BAU,78,,DIST_DSL,,2043,,16.1292,16.1292,16.1292,16.1292,,,,486.005,262.813,,,262.813,,,,,,201.9451,,Energy
BAU,78,,DIST_DSL,,2044,,16.9429,16.9429,16.9429,16.9429,,,,520.172,273.708,,,273.708,,,,,,205.8497,,Energy
BAU,78,,DIST_DSL,,2045,,17.7729,17.7729,17.7729,17.7729,,,,555.772,284.558,,,284.558,,,,,,209.4646,,Energy
BAU,78,,DIST_DSL,,2046,,18.6809,18.6809,18.6809,18.6809,,,,594.803,296.334,,,296.334,,,,,,213.5,,Energy
BAU,78,,DIST_DSL,,2047,,19.6176,19.6176,19.6176,19.6176,,,,635.798,308.22,,,308.22,,,,,,217.3475,,Energy
BAU,78,,DIST_DSL,,2048,,20.5767,20.5767,20.5767,20.5767,,,,678.595,320.1,,,320.1,,,,,,220.9311,,Energy
