Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,68,,DIST_DSL,,2021,,6.06368,6.06368,6.06368,6.06368,,,,114.71,113.154,,,113.154,,,,,,139.4307,,Energy
LTS,68,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,142.986,137.245,,,137.245,,,,,,165.5242,,Energy
LTS,68,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,135.5,126.554,,,126.554,,,,,,149.3888,,Energy
LTS,68,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,132.795,120.684,,,120.684,,,,,,139.4348,,Energy
LTS,68,,DIST_DSL,,2025,,6.86415,6.86415,6.86415,6.86415,,,,136.627,120.82,,,120.82,,,,,,136.627,,Energy
LTS,68,,DIST_DSL,,2026,,7.02958,7.02958,7.02958,7.02958,,,,142.876,122.94,,,122.94,,,,,,136.0724,,Energy
LTS,68,,DIST_DSL,,2027,,7.42035,7.42035,7.42035,7.42035,,,,154.094,129.019,,,129.019,,,,,,139.7678,,Energy
LTS,68,,DIST_DSL,,2028,,7.70846,7.70846,7.70846,7.70846,,,,163.479,133.188,,,133.188,,,,,,141.2193,,Energy
LTS,68,,DIST_DSL,,2029,,8.05221,8.05221,8.05221,8.05221,,,,174.325,138.196,,,138.196,,,,,,143.4176,,Energy
LTS,68,,DIST_DSL,,2030,,8.35605,8.35605,8.35605,8.35605,,,,184.592,142.391,,,142.391,,,,,,144.6327,,Energy
LTS,68,,DIST_DSL,,2031,,8.36335,8.36335,8.36335,8.36335,,,,188.445,141.445,,,141.445,,,,,,140.6206,,Energy
LTS,68,,DIST_DSL,,2032,,8.35208,8.35208,8.35208,8.35208,,,,191.878,140.14,,,140.14,,,,,,136.3641,,Energy
LTS,68,,DIST_DSL,,2033,,8.29659,8.29659,8.29659,8.29659,,,,194.266,138.06,,,138.06,,,,,,131.4869,,Energy
LTS,68,,DIST_DSL,,2034,,8.25449,8.25449,8.25449,8.25449,,,,196.925,136.177,,,136.177,,,,,,126.9396,,Energy
LTS,68,,DIST_DSL,,2035,,8.22447,8.22447,8.22447,8.22447,,,,199.84,134.468,,,134.468,,,,,,122.6844,,Energy
LTS,68,,DIST_DSL,,2036,,8.18922,8.18922,8.18922,8.18922,,,,202.598,132.65,,,132.65,,,,,,118.4549,,Energy
LTS,68,,DIST_DSL,,2037,,8.15113,8.15113,8.15113,8.15113,,,,205.254,130.767,,,130.767,,,,,,114.2931,,Energy
LTS,68,,DIST_DSL,,2038,,8.11191,8.11191,8.11191,8.11191,,,,207.848,128.85,,,128.85,,,,,,110.2262,,Energy
LTS,68,,DIST_DSL,,2039,,8.0645,8.0645,8.0645,8.0645,,,,210.194,126.792,,,126.792,,,,,,106.1623,,Energy
LTS,68,,DIST_DSL,,2040,,8.05399,8.05399,8.05399,8.05399,,,,213.476,125.301,,,125.301,,,,,,102.6856,,Energy
LTS,68,,DIST_DSL,,2041,,8.20136,8.20136,8.20136,8.20136,,,,221.002,126.222,,,126.222,,,,,,101.2436,,Energy
LTS,68,,DIST_DSL,,2042,,8.33604,8.33604,8.33604,8.33604,,,,228.312,126.882,,,126.882,,,,,,99.6118,,Energy
LTS,68,,DIST_DSL,,2043,,8.48692,8.48692,8.48692,8.48692,,,,236.191,127.723,,,127.723,,,,,,98.1422,,Energy
LTS,68,,DIST_DSL,,2044,,8.59759,8.59759,8.59759,8.59759,,,,243.067,127.899,,,127.899,,,,,,96.1899,,Energy
LTS,68,,DIST_DSL,,2045,,8.6949,8.6949,8.6949,8.6949,,,,249.656,127.825,,,127.825,,,,,,94.0927,,Energy
LTS,68,,DIST_DSL,,2046,,8.80146,8.80146,8.80146,8.80146,,,,256.601,127.84,,,127.84,,,,,,92.105,,Energy
LTS,68,,DIST_DSL,,2047,,8.90729,8.90729,8.90729,8.90729,,,,263.619,127.796,,,127.796,,,,,,90.1181,,Energy
LTS,68,,DIST_DSL,,2048,,9.01756,9.01756,9.01756,9.01756,,,,270.864,127.769,,,127.769,,,,,,88.1855,,Energy
LTS,68,,DIST_DSL,,2049,,9.11011,9.11011,9.11011,9.11011,,,,277.665,127.447,,,127.447,,,,,,86.095,,Energy
