PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,JAM,DIST_DSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,DIST_GSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,DIST_LPG,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,DIST_FOI,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,DIST_KER,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,IMP_ELE,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,DIST_BIM,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,DIST_BGS,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,ELE_TRANS,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,ELE_DIST,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,HYD_G_PROD,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,HYD_DIST,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T5DSLOTH,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T5GSLOTH,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T5LPGOTH,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T5ELEOTH,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T5HYDOTH,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T5KEROTH,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T5BIMOTH,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T5BGSOTH,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T5FOIOTH,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4DSL_PRI,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4GSL_PRI,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4ELE_PRI,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4GSL_PUB,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4ELE_PUB,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4DSL_PUB,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4HYD_PUB,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4DSL_HEA,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4FOI_HEA,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4ELE_HEA,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4HYD_HEA,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4DSL_LIG,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4GSL_LIG,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4ELE_LIG,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4DSL_MAR,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4FOI_MAR,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4HYD_MAR,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4DSL_MAM,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4FOI_MAM,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4HYD_MAM,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4KER_AVI,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T4HYD_AVI,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRAUTDSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRAUTGSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRAUTELE,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRAUTHG,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRMOTGSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRMOTELE,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRSUVDSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRSUVGSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRSUVELE,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRTAXGSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRTAXELE,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRMBSDSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRMBSGSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRMBSELE,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRBPUDSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRBPUGSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRBPUELE,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRBPUHYD,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRYTKDSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRYTKFOI,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRYTKELE,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRYTKHYD,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRYTKHD,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRYLFDSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRYLFGSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRYLFELE,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRYLFHD,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRMARDSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRMARFOI,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRMARHYD,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRMAMFREDSL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRMAMFREFOI,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRMAMFREHYD,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRAVKER,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,TRAVHYD,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,Techs_Auto,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,Techs_Motos,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,Techs_SUV,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,Techs_Taxi,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,Techs_Buses_Micro,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,Techs_Buses_Pub,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,Techs_He_Freight,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,Techs_Li_Freight,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,Techs_Maritime,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,Techs_Maritime_Freight,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,Techs_Aviation,,,,,,,,,,1
