PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,JAM,DIST_DSL,,,,,,,,,,1
OperationalLife,BAU,JAM,DIST_GSL,,,,,,,,,,1
OperationalLife,BAU,JAM,DIST_LPG,,,,,,,,,,1
OperationalLife,BAU,JAM,DIST_FOI,,,,,,,,,,1
OperationalLife,BAU,JAM,DIST_KER,,,,,,,,,,1
OperationalLife,BAU,JAM,IMP_ELE,,,,,,,,,,1
OperationalLife,BAU,JAM,DIST_BIM,,,,,,,,,,1
OperationalLife,BAU,JAM,DIST_BGS,,,,,,,,,,1
OperationalLife,BAU,JAM,ELE_TRANS,,,,,,,,,,60
OperationalLife,BAU,JAM,ELE_DIST,,,,,,,,,,60
OperationalLife,BAU,JAM,HYD_G_PROD,,,,,,,,,,20
OperationalLife,BAU,JAM,HYD_DIST,,,,,,,,,,15
OperationalLife,BAU,JAM,T5DSLOTH,,,,,,,,,,1
OperationalLife,BAU,JAM,T5GSLOTH,,,,,,,,,,1
OperationalLife,BAU,JAM,T5LPGOTH,,,,,,,,,,1
OperationalLife,BAU,JAM,T5ELEOTH,,,,,,,,,,1
OperationalLife,BAU,JAM,T5HYDOTH,,,,,,,,,,1
OperationalLife,BAU,JAM,T5KEROTH,,,,,,,,,,1
OperationalLife,BAU,JAM,T5BIMOTH,,,,,,,,,,1
OperationalLife,BAU,JAM,T5BGSOTH,,,,,,,,,,1
OperationalLife,BAU,JAM,T5FOIOTH,,,,,,,,,,1
OperationalLife,BAU,JAM,T4DSL_PRI,,,,,,,,,,1
OperationalLife,BAU,JAM,T4GSL_PRI,,,,,,,,,,1
OperationalLife,BAU,JAM,T4ELE_PRI,,,,,,,,,,1
OperationalLife,BAU,JAM,T4GSL_PUB,,,,,,,,,,1
OperationalLife,BAU,JAM,T4ELE_PUB,,,,,,,,,,1
OperationalLife,BAU,JAM,T4DSL_PUB,,,,,,,,,,1
OperationalLife,BAU,JAM,T4HYD_PUB,,,,,,,,,,1
OperationalLife,BAU,JAM,T4DSL_HEA,,,,,,,,,,1
OperationalLife,BAU,JAM,T4FOI_HEA,,,,,,,,,,1
OperationalLife,BAU,JAM,T4ELE_HEA,,,,,,,,,,1
OperationalLife,BAU,JAM,T4HYD_HEA,,,,,,,,,,1
OperationalLife,BAU,JAM,T4DSL_LIG,,,,,,,,,,1
OperationalLife,BAU,JAM,T4GSL_LIG,,,,,,,,,,1
OperationalLife,BAU,JAM,T4ELE_LIG,,,,,,,,,,1
OperationalLife,BAU,JAM,T4DSL_MAR,,,,,,,,,,1
OperationalLife,BAU,JAM,T4FOI_MAR,,,,,,,,,,1
OperationalLife,BAU,JAM,T4HYD_MAR,,,,,,,,,,1
OperationalLife,BAU,JAM,T4DSL_MAM,,,,,,,,,,1
OperationalLife,BAU,JAM,T4FOI_MAM,,,,,,,,,,1
OperationalLife,BAU,JAM,T4HYD_MAM,,,,,,,,,,1
OperationalLife,BAU,JAM,T4KER_AVI,,,,,,,,,,1
OperationalLife,BAU,JAM,T4HYD_AVI,,,,,,,,,,1
OperationalLife,BAU,JAM,TRAUTDSL,,,,,,,,,,15
OperationalLife,BAU,JAM,TRAUTGSL,,,,,,,,,,15
OperationalLife,BAU,JAM,TRAUTELE,,,,,,,,,,15
OperationalLife,BAU,JAM,TRAUTHG,,,,,,,,,,15
OperationalLife,BAU,JAM,TRMOTGSL,,,,,,,,,,15
OperationalLife,BAU,JAM,TRMOTELE,,,,,,,,,,15
OperationalLife,BAU,JAM,TRSUVDSL,,,,,,,,,,15
OperationalLife,BAU,JAM,TRSUVGSL,,,,,,,,,,15
OperationalLife,BAU,JAM,TRSUVELE,,,,,,,,,,15
OperationalLife,BAU,JAM,TRTAXGSL,,,,,,,,,,12
OperationalLife,BAU,JAM,TRTAXELE,,,,,,,,,,12
OperationalLife,BAU,JAM,TRMBSDSL,,,,,,,,,,12
OperationalLife,BAU,JAM,TRMBSGSL,,,,,,,,,,12
OperationalLife,BAU,JAM,TRMBSELE,,,,,,,,,,12
OperationalLife,BAU,JAM,TRBPUDSL,,,,,,,,,,12
OperationalLife,BAU,JAM,TRBPUGSL,,,,,,,,,,12
OperationalLife,BAU,JAM,TRBPUELE,,,,,,,,,,12
OperationalLife,BAU,JAM,TRBPUHYD,,,,,,,,,,12
OperationalLife,BAU,JAM,TRYTKDSL,,,,,,,,,,15
OperationalLife,BAU,JAM,TRYTKFOI,,,,,,,,,,15
OperationalLife,BAU,JAM,TRYTKELE,,,,,,,,,,15
OperationalLife,BAU,JAM,TRYTKHYD,,,,,,,,,,15
OperationalLife,BAU,JAM,TRYTKHD,,,,,,,,,,15
OperationalLife,BAU,JAM,TRYLFDSL,,,,,,,,,,15
OperationalLife,BAU,JAM,TRYLFGSL,,,,,,,,,,15
OperationalLife,BAU,JAM,TRYLFELE,,,,,,,,,,15
OperationalLife,BAU,JAM,TRYLFHD,,,,,,,,,,15
OperationalLife,BAU,JAM,TRMARDSL,,,,,,,,,,17
OperationalLife,BAU,JAM,TRMARFOI,,,,,,,,,,17
OperationalLife,BAU,JAM,TRMARHYD,,,,,,,,,,17
OperationalLife,BAU,JAM,TRMAMFREDSL,,,,,,,,,,17
