PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2021,,,,,,5.0706
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2022,,,,,,5.4858
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2023,,,,,,5.7417
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2024,,,,,,5.8519
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2025,,,,,,5.9653
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2026,,,,,,6.0801
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2027,,,,,,6.1949
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2028,,,,,,6.3099
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2029,,,,,,6.4247
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2030,,,,,,6.5395
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2031,,,,,,6.6676
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2032,,,,,,6.7957
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2033,,,,,,6.9237
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2034,,,,,,7.0518
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2035,,,,,,7.1798
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2036,,,,,,7.3363
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2037,,,,,,7.4929
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2038,,,,,,7.6494
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2039,,,,,,7.806
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2040,,,,,,7.9625
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2041,,,,,,8.1471
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2042,,,,,,8.3316
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2043,,,,,,8.5162
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2044,,,,,,8.7007
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2045,,,,,,8.8852
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2046,,,,,,9.0901
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2047,,,,,,9.2948
TotalAnnualMaxCapacity,BAU,JAM,Techs_Auto,,,,2048,,,,,,9.4997
