PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,BAU,JAM,DIST_DSL,,,1,2021,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2022,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2023,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2024,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2025,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2026,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2027,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2028,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2029,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2030,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2031,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2032,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2033,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2034,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2035,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2036,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2037,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2038,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2039,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2040,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2041,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2042,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2043,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2044,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2045,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2046,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2047,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2048,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2049,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2050,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2051,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2052,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2053,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2054,,,,,,
VariableCost,BAU,JAM,DIST_DSL,,,1,2055,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2021,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2022,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2023,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2024,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2025,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2026,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2027,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2028,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2029,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2030,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2031,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2032,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2033,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2034,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2035,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2036,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2037,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2038,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2039,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2040,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2041,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2042,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2043,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2044,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2045,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2046,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2047,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2048,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2049,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2050,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2051,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2052,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2053,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2054,,,,,,
VariableCost,BAU,JAM,DIST_GSL,,,1,2055,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2021,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2022,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2023,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2024,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2025,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2026,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2027,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2028,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2029,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2030,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2031,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2032,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2033,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2034,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2035,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2036,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2037,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2038,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2039,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2040,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2041,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2042,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2043,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2044,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2045,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2046,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2047,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2048,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2049,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2050,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2051,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2052,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2053,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2054,,,,,,
VariableCost,BAU,JAM,DIST_LPG,,,1,2055,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2021,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2022,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2023,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2024,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2025,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2026,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2027,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2028,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2029,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2030,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2031,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2032,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2033,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2034,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2035,,,,,,
VariableCost,BAU,JAM,DIST_FOI,,,1,2036,,,,,,
