PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,LTS,JAM,TRAUTDSL,,,,2021,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2022,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2023,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2024,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2025,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2026,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2027,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2028,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2029,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2030,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2031,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2032,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2033,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2034,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2035,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2036,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2037,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2038,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2039,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2040,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2041,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2042,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2043,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2044,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2045,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2046,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2047,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2048,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2049,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2050,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2051,,,,,,960.4167
CapitalCost,LTS,JAM,TRAUTDSL,,,,2052,,,,,,960.4167
