PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionsPenalty,LTS,JAM,,,Health,,2021,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2022,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2023,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2024,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2025,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2026,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2027,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2028,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2029,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2030,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2031,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2032,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2033,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2034,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2035,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2036,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2037,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2038,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2039,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2040,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2041,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2042,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2043,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2044,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2045,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2046,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2047,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2048,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2049,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2050,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2051,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2052,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2053,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2054,,,,,,1000
EmissionsPenalty,LTS,JAM,,,Health,,2055,,,,,,1000
