PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,LTS,JAM,TRAUTDSL,,,,2021,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2022,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2023,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2024,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2025,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2026,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2027,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2028,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2029,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2030,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2031,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2032,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2033,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2034,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2035,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2036,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2037,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2038,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2039,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2040,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2041,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2042,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2043,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2044,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2045,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2046,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2047,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2048,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2049,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2050,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2051,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2052,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2053,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2054,,,,,,61.65
FixedCost,LTS,JAM,TRAUTDSL,,,,2055,,,,,,61.65
FixedCost,LTS,JAM,TRAUTGSL,,,,2021,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2022,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2023,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2024,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2025,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2026,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2027,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2028,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2029,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2030,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2031,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2032,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2033,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2034,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2035,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2036,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2037,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2038,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2039,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2040,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2041,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2042,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2043,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2044,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2045,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2046,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2047,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2048,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2049,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2050,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2051,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2052,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2053,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2054,,,,,,49.32
FixedCost,LTS,JAM,TRAUTGSL,,,,2055,,,,,,49.32
FixedCost,LTS,JAM,TRAUTELE,,,,2021,,,,,,16.2756
FixedCost,LTS,JAM,TRAUTELE,,,,2022,,,,,,16.2756
FixedCost,LTS,JAM,TRAUTELE,,,,2023,,,,,,16.2756
