PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2021,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2022,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2023,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2024,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2025,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2026,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2027,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2028,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2029,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2030,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2031,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2032,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2033,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2034,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2035,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2036,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2037,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2038,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2039,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2040,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2041,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2042,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2043,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2044,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2045,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5OTHDSL,,,2046,All,,,,,1
