Strategy,Future.ID,Year,Technology,Fuel,Emission,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedOperatingCost,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,OperatingCost,ProductionByTechnology,RateOfProductionByTechnologyByMode,SalvageValue,TotalCapacityAnnual,TotalDiscountedCost,TotalDiscountedCostByTechnology,TotalTechnologyAnnualActivity,UseByTechnology,Externalities2025,Capex2025,Opex2025,FixedOpex2025,VarOpex2025
BAU,79,2021,DIST_DSL,,,9.3252953,,,,,,,,,,,,,9.3252953,,,,,9.3252953,,,9.3252953,,,,,,
BAU,79,2022,DIST_DSL,,,10.088475,,,,,,,,,,,,,10.088475,,,,,10.088475,,,10.088475,,,,,,
BAU,79,2023,DIST_DSL,,,10.558755,,,,,,,,,,,,,10.558755,,,,,10.558755,,,10.558755,,,,,,
BAU,79,2024,DIST_DSL,,,10.76274,,,,,,,,,,,,,10.76274,,,,,10.76274,,,10.76274,,,,,,
BAU,79,2025,DIST_DSL,,,10.970848,,,,,,,,,,,,,10.970848,,,,,10.970848,,,10.970848,,,,,,
BAU,79,2026,DIST_DSL,,,11.139703,,,,,,,,,,,,,11.139703,,,,,11.139703,,,11.139703,,,,,,
BAU,79,2027,DIST_DSL,,,11.210869,,,,,,,,,,,,,11.210869,,,,,11.210869,,,11.210869,,,,,,
BAU,79,2028,DIST_DSL,,,11.355123,,,,,,,,,,,,,11.355123,,,,,11.355123,,,11.355123,,,,,,
BAU,79,2029,DIST_DSL,,,11.494731,,,,,,,,,,,,,11.494731,,,,,11.494731,,,11.494731,,,,,,
BAU,79,2030,DIST_DSL,,,11.638075,,,,,,,,,,,,,11.638075,,,,,11.638075,,,11.638075,,,,,,
BAU,79,2031,DIST_DSL,,,11.802821,,,,,,,,,,,,,11.802821,,,,,11.802821,,,11.802821,,,,,,
BAU,79,2032,DIST_DSL,,,11.96088,,,,,,,,,,,,,11.96088,,,,,11.96088,,,11.96088,,,,,,
BAU,79,2033,DIST_DSL,,,12.11911,,,,,,,,,,,,,12.11911,,,,,12.11911,,,12.11911,,,,,,
BAU,79,2034,DIST_DSL,,,12.276549,,,,,,,,,,,,,12.276549,,,,,12.276549,,,12.276549,,,,,,
BAU,79,2035,DIST_DSL,,,12.433806,,,,,,,,,,,,,12.433806,,,,,12.433806,,,12.433806,,,,,,
BAU,79,2036,DIST_DSL,,,12.671397,,,,,,,,,,,,,12.671397,,,,,12.671397,,,12.671397,,,,,,
BAU,79,2037,DIST_DSL,,,12.886148,,,,,,,,,,,,,12.886148,,,,,12.886148,,,12.886148,,,,,,
BAU,79,2038,DIST_DSL,,,13.085377,,,,,,,,,,,,,13.085377,,,,,13.085377,,,13.085377,,,,,,
BAU,79,2039,DIST_DSL,,,13.283366,,,,,,,,,,,,,13.283366,,,,,13.283366,,,13.283366,,,,,,
BAU,79,2040,DIST_DSL,,,13.47589,,,,,,,,,,,,,13.47589,,,,,13.47589,,,13.47589,,,,,,
BAU,79,2041,DIST_DSL,,,13.798624,,,,,,,,,,,,,13.798624,,,,,13.798624,,,13.798624,,,,,,
BAU,79,2042,DIST_DSL,,,14.118026,,,,,,,,,,,,,14.118026,,,,,14.118026,,,14.118026,,,,,,
BAU,79,2043,DIST_DSL,,,14.438534,,,,,,,,,,,,,14.438534,,,,,14.438534,,,14.438534,,,,,,
BAU,79,2044,DIST_DSL,,,14.76036,,,,,,,,,,,,,14.76036,,,,,14.76036,,,14.76036,,,,,,
BAU,79,2045,DIST_DSL,,,15.082255,,,,,,,,,,,,,15.082255,,,,,15.082255,,,15.082255,,,,,,
BAU,79,2046,DIST_DSL,,,15.444142,,,,,,,,,,,,,15.444142,,,,,15.444142,,,15.444142,,,,,,
BAU,79,2047,DIST_DSL,,,15.813794,,,,,,,,,,,,,15.813794,,,,,15.813794,,,15.813794,,,,,,
BAU,79,2048,DIST_DSL,,,16.186761,,,,,,,,,,,,,16.186761,,,,,16.186761,,,16.186761,,,,,,
BAU,79,2049,DIST_DSL,,,16.561611,,,,,,,,,,,,,16.561611,,,,,16.561611,,,16.561611,,,,,,
BAU,79,2050,DIST_DSL,,,16.934972,,,,,,,,,,,,,16.934972,,,,,16.934972,,,16.934972,,,,,,
BAU,79,2051,DIST_DSL,,,17.257738,,,,,,,,,,,,,17.257738,,,,,17.257738,,,17.257738,,,,,,
BAU,79,2052,DIST_DSL,,,17.585403,,,,,,,,,,,,,17.585403,,,,,17.585403,,,17.585403,,,,,,
BAU,79,2053,DIST_DSL,,,17.921543,,,,,,,,,,,,,17.921543,,,,,17.921543,,,17.921543,,,,,,
BAU,79,2054,DIST_DSL,,,18.259901,,,,,,,,,,,,,18.259901,,,,,18.259901,,,18.259901,,,,,,
BAU,79,2055,DIST_DSL,,,18.605972,,,,,,,,,,,,,18.605972,,,,,18.605972,,,18.605972,,,,,,
BAU,79,2021,DIST_GSL,,,20.866539,,,,,,,,,,,,,20.866539,,,,,20.866539,,,20.866539,,,,,,
BAU,79,2022,DIST_GSL,,,22.576075,,,,,,,,,,,,,22.576075,,,,,22.576075,,,22.576075,,,,,,
BAU,79,2023,DIST_GSL,,,23.629716,,,,,,,,,,,,,23.629716,,,,,23.629716,,,23.629716,,,,,,
BAU,79,2024,DIST_GSL,,,24.082654,,,,,,,,,,,,,24.082654,,,,,24.082654,,,24.082654,,,,,,
BAU,79,2025,DIST_GSL,,,24.54924,,,,,,,,,,,,,24.54924,,,,,24.54924,,,24.54924,,,,,,
BAU,79,2026,DIST_GSL,,,24.925077,,,,,,,,,,,,,24.925077,,,,,24.925077,,,24.925077,,,,,,
BAU,79,2027,DIST_GSL,,,25.285384,,,,,,,,,,,,,25.285384,,,,,25.285384,,,25.285384,,,,,,
BAU,79,2028,DIST_GSL,,,25.656284,,,,,,,,,,,,,25.656284,,,,,25.656284,,,25.656284,,,,,,
BAU,79,2029,DIST_GSL,,,26.02569,,,,,,,,,,,,,26.02569,,,,,26.02569,,,26.02569,,,,,,
BAU,79,2030,DIST_GSL,,,26.384327,,,,,,,,,,,,,26.384327,,,,,26.384327,,,26.384327,,,,,,
BAU,79,2031,DIST_GSL,,,26.780649,,,,,,,,,,,,,26.780649,,,,,26.780649,,,26.780649,,,,,,
BAU,79,2032,DIST_GSL,,,27.174979,,,,,,,,,,,,,27.174979,,,,,27.174979,,,27.174979,,,,,,
BAU,79,2033,DIST_GSL,,,27.561358,,,,,,,,,,,,,27.561358,,,,,27.561358,,,27.561358,,,,,,
BAU,79,2034,DIST_GSL,,,27.942551,,,,,,,,,,,,,27.942551,,,,,27.942551,,,27.942551,,,,,,
