Strategy,Future.ID,Year,Technology,Fuel,Emission,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedOperatingCost,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,OperatingCost,ProductionByTechnology,RateOfProductionByTechnologyByMode,SalvageValue,TotalCapacityAnnual,TotalDiscountedCost,TotalDiscountedCostByTechnology,TotalTechnologyAnnualActivity,UseByTechnology,Externalities2025,Capex2025,Opex2025,FixedOpex2025,VarOpex2025
LTS,100,2021,DIST_DSL,,,9.3252953,,,,,,,,,,,,,9.3252953,,,,,9.3252953,,,9.3252953,,,,,,
LTS,100,2022,DIST_DSL,,,10.088475,,,,,,,,,,,,,10.088475,,,,,10.088475,,,10.088475,,,,,,
LTS,100,2023,DIST_DSL,,,10.558755,,,,,,,,,,,,,10.558755,,,,,10.558755,,,10.558755,,,,,,
LTS,100,2024,DIST_DSL,,,10.76274,,,,,,,,,,,,,10.76274,,,,,10.76274,,,10.76274,,,,,,
LTS,100,2025,DIST_DSL,,,10.970848,,,,,,,,,,,,,10.970848,,,,,10.970848,,,10.970848,,,,,,
LTS,100,2026,DIST_DSL,,,11.116983,,,,,,,,,,,,,11.116983,,,,,11.116983,,,11.116983,,,,,,
LTS,100,2027,DIST_DSL,,,11.445344,,,,,,,,,,,,,11.445344,,,,,11.445344,,,11.445344,,,,,,
LTS,100,2028,DIST_DSL,,,11.836597,,,,,,,,,,,,,11.836597,,,,,11.836597,,,11.836597,,,,,,
LTS,100,2029,DIST_DSL,,,12.213738,,,,,,,,,,,,,12.213738,,,,,12.213738,,,12.213738,,,,,,
LTS,100,2030,DIST_DSL,,,12.557852,,,,,,,,,,,,,12.557852,,,,,12.557852,,,12.557852,,,,,,
LTS,100,2031,DIST_DSL,,,12.59816,,,,,,,,,,,,,12.59816,,,,,12.59816,,,12.59816,,,,,,
LTS,100,2032,DIST_DSL,,,12.620869,,,,,,,,,,,,,12.620869,,,,,12.620869,,,12.620869,,,,,,
LTS,100,2033,DIST_DSL,,,12.598967,,,,,,,,,,,,,12.598967,,,,,12.598967,,,12.598967,,,,,,
LTS,100,2034,DIST_DSL,,,12.607539,,,,,,,,,,,,,12.607539,,,,,12.607539,,,12.607539,,,,,,
LTS,100,2035,DIST_DSL,,,12.620728,,,,,,,,,,,,,12.620728,,,,,12.620728,,,12.620728,,,,,,
LTS,100,2036,DIST_DSL,,,12.620032,,,,,,,,,,,,,12.620032,,,,,12.620032,,,12.620032,,,,,,
LTS,100,2037,DIST_DSL,,,12.620312,,,,,,,,,,,,,12.620312,,,,,12.620312,,,12.620312,,,,,,
LTS,100,2038,DIST_DSL,,,12.631901,,,,,,,,,,,,,12.631901,,,,,12.631901,,,12.631901,,,,,,
