Strategy,Future.ID,Technology,Year,UseByTechnology
BAU,0,T4DSL_HEA,2021,7.52818
BAU,0,T4DSL_HEA,2022,8.14477
BAU,0,T4DSL_HEA,2023,8.52465
BAU,0,T4DSL_HEA,2024,8.68881
BAU,0,T4DSL_HEA,2025,8.8568
BAU,0,T4DSL_HEA,2026,8.9427
BAU,0,T4DSL_HEA,2027,9.02542
BAU,0,T4DSL_HEA,2028,9.10496
BAU,0,T4DSL_HEA,2029,9.18132
BAU,0,T4DSL_HEA,2030,9.25449
BAU,0,T4DSL_HEA,2031,9.34358
BAU,0,T4DSL_HEA,2032,9.42821
BAU,0,T4DSL_HEA,2033,9.50902
BAU,0,T4DSL_HEA,2034,9.58728
BAU,0,T4DSL_HEA,2035,9.66109
BAU,0,T4DSL_HEA,2036,9.7699
BAU,0,T4DSL_HEA,2037,9.87426
BAU,0,T4DSL_HEA,2038,9.97352
BAU,0,T4DSL_HEA,2039,10.0696
BAU,0,T4DSL_HEA,2040,10.1606
BAU,0,T4DSL_HEA,2041,10.4578
BAU,0,T4DSL_HEA,2042,10.7562
BAU,0,T4DSL_HEA,2043,11.0584
BAU,0,T4DSL_HEA,2044,11.3639
BAU,0,T4DSL_HEA,2045,11.6718
BAU,0,T4DSL_HEA,2046,12.0091
BAU,0,T4DSL_HEA,2047,12.3489
BAU,0,T4DSL_HEA,2048,12.6925
BAU,0,T4DSL_HEA,2049,13.0393
BAU,0,T4DSL_HEA,2050,13.3886
BAU,0,T4DSL_HEA,2051,13.6711
BAU,0,T4DSL_HEA,2052,13.96
BAU,0,T4DSL_HEA,2053,14.2546
BAU,0,T4DSL_HEA,2054,14.555
BAU,0,T4DSL_HEA,2055,14.8623
BAU,0,T4DSL_LIG,2021,0.924093
BAU,0,T4DSL_LIG,2022,0.999635
BAU,0,T4DSL_LIG,2023,1.04593
BAU,0,T4DSL_LIG,2024,1.06672
BAU,0,T4DSL_LIG,2025,1.08715
BAU,0,T4DSL_LIG,2026,1.11956
BAU,0,T4DSL_LIG,2027,1.15289
BAU,0,T4DSL_LIG,2028,1.18645
BAU,0,T4DSL_LIG,2029,1.22062
BAU,0,T4DSL_LIG,2030,1.25503
BAU,0,T4DSL_LIG,2031,1.29264
BAU,0,T4DSL_LIG,2032,1.33046
BAU,0,T4DSL_LIG,2033,1.36905
BAU,0,T4DSL_LIG,2034,1.40816
BAU,0,T4DSL_LIG,2035,1.44746
BAU,0,T4DSL_LIG,2036,1.49318
BAU,0,T4DSL_LIG,2037,1.53954
BAU,0,T4DSL_LIG,2038,1.58671
BAU,0,T4DSL_LIG,2039,1.63425
BAU,0,T4DSL_LIG,2040,1.68253
BAU,0,T4DSL_LIG,2041,1.70829
BAU,0,T4DSL_LIG,2042,1.73342
BAU,0,T4DSL_LIG,2043,1.75793
BAU,0,T4DSL_LIG,2044,1.78178
BAU,0,T4DSL_LIG,2045,1.80512
BAU,0,T4DSL_LIG,2046,1.83224
BAU,0,T4DSL_LIG,2047,1.85825
BAU,0,T4DSL_LIG,2048,1.88389
BAU,0,T4DSL_LIG,2049,1.90879
BAU,0,T4DSL_LIG,2050,1.93287
BAU,0,T4DSL_LIG,2051,1.97373
BAU,0,T4DSL_LIG,2052,2.01536
BAU,0,T4DSL_LIG,2053,2.05767
BAU,0,T4DSL_LIG,2054,2.10149
BAU,0,T4DSL_LIG,2055,2.14569
BAU,0,T4DSL_PRI,2021,0.411891
BAU,0,T4DSL_PRI,2022,0.445405
BAU,0,T4DSL_PRI,2023,0.465945
BAU,0,T4DSL_PRI,2024,0.475315
BAU,0,T4DSL_PRI,2025,0.484324
BAU,0,T4DSL_PRI,2026,0.525765
BAU,0,T4DSL_PRI,2027,0.566486
BAU,0,T4DSL_PRI,2028,0.606846
BAU,0,T4DSL_PRI,2029,0.653333
BAU,0,T4DSL_PRI,2030,0.703783
BAU,0,T4DSL_PRI,2031,0.756756
BAU,0,T4DSL_PRI,2032,0.811531
BAU,0,T4DSL_PRI,2033,0.867387
BAU,0,T4DSL_PRI,2034,0.925044
BAU,0,T4DSL_PRI,2035,0.984504
BAU,0,T4DSL_PRI,2036,1.04937
BAU,0,T4DSL_PRI,2037,1.14486
BAU,0,T4DSL_PRI,2038,1.21441
BAU,0,T4DSL_PRI,2039,1.2854
BAU,0,T4DSL_PRI,2040,1.35856
BAU,0,T4DSL_PRI,2041,1.3827
BAU,0,T4DSL_PRI,2042,1.40649
BAU,0,T4DSL_PRI,2043,1.43027
BAU,0,T4DSL_PRI,2044,1.45802
BAU,0,T4DSL_PRI,2045,1.49153
BAU,0,T4DSL_PRI,2046,1.52793
BAU,0,T4DSL_PRI,2047,1.56468
BAU,0,T4DSL_PRI,2048,1.60144
BAU,0,T4DSL_PRI,2049,1.63856
BAU,0,T4DSL_PRI,2050,1.67603
BAU,0,T4DSL_PRI,2051,1.71099
BAU,0,T4DSL_PRI,2052,1.74739
BAU,0,T4DSL_PRI,2053,1.78414
BAU,0,T4DSL_PRI,2054,1.82162
BAU,0,T4DSL_PRI,2055,1.86018
BAU,0,T4DSL_PUB,2021,0.461127
BAU,0,T4DSL_PUB,2022,0.498668
BAU,0,T4DSL_PUB,2023,0.52223
BAU,0,T4DSL_PUB,2024,0.531894
BAU,0,T4DSL_PUB,2025,0.542579
BAU,0,T4DSL_PUB,2026,0.551673
BAU,0,T4DSL_PUB,2027,0.562
BAU,0,T4DSL_PUB,2028,0.571998
BAU,0,T4DSL_PUB,2029,0.58166
BAU,0,T4DSL_PUB,2030,0.591355
BAU,0,T4DSL_PUB,2031,0.60205
BAU,0,T4DSL_PUB,2032,0.611975
BAU,0,T4DSL_PUB,2033,0.623166
BAU,0,T4DSL_PUB,2034,0.633033
BAU,0,T4DSL_PUB,2035,0.64365
BAU,0,T4DSL_PUB,2036,0.656209
BAU,0,T4DSL_PUB,2037,0.66943
BAU,0,T4DSL_PUB,2038,0.6822
BAU,0,T4DSL_PUB,2039,0.694817
BAU,0,T4DSL_PUB,2040,0.706998
BAU,0,T4DSL_PUB,2041,0.720443
BAU,0,T4DSL_PUB,2042,0.732069
BAU,0,T4DSL_PUB,2043,0.744234
BAU,0,T4DSL_PUB,2044,0.758248
