PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,JAM,INORG_RCY_OS,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,AD,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,COMPOST,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,LANDFILL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,NO_CONTR_OD,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,COPROC,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,INCIN,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,OPEN_BURN,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,SIT_CLAN,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,AERO_PTAR,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,AERO_PTAR_RU,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,ANAE_LAGN,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,ANAE_LAGN_RU,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,SEPT_SYST,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,LATR,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,EFLT_DISC,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,SEWER_NO_T,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,OSS_INORG,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,OSS_ORG,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,NO_OSS_BLEND,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,NO_OSS_NO_COLL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,INORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,ORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,BLEND_NO_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,BLEND_NO_COLL,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,INORG_SS,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,ORG_SS,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,NO_SS,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,WWWT,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,WWWOT,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,SEWERWW,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,DIRECT_DISC,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T5TSWTSW,,,,,,,,,,1
CapacityToActivityUnit,BAU,JAM,T5TWWTWW,,,,,,,,,,1
