PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2021,,,,,,1.0949965330448923
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2022,,,,,,1.1069577136646838
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2023,,,,,,1.1189188942844754
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2024,,,,,,1.1308800749042671
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2025,,,,,,1.1428412555240586
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2026,,,,,,1.152066284416673
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2027,,,,,,1.1612913133092873
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2028,,,,,,1.1705163422019014
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2029,,,,,,1.1797413710945157
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2030,,,,,,1.18896639998713
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2031,,,,,,1.1956910305588342
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2032,,,,,,1.2024156611305379
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2033,,,,,,1.2091402917022418
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2034,,,,,,1.215864922273946
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2035,,,,,,1.2225895528456499
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2036,,,,,,1.2269818463147066
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2037,,,,,,1.2313741397837636
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2038,,,,,,1.2357664332528207
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2039,,,,,,1.2401587267218777
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2040,,,,,,1.2445510201909344
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2041,,,,,,1.2468462223277148
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2042,,,,,,1.2491414244644952
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2043,,,,,,1.2514366266012757
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2044,,,,,,1.2537318287380559
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2045,,,,,,1.2560270308748362
SpecifiedAnnualDemand,BAU,JAM,,E5TSWTSW,,,2046,,,,,,1.2564793793059466
