PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2021,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2022,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2023,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2024,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2025,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2026,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2027,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2028,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2029,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2030,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2031,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2032,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2033,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2034,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2035,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2036,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2037,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2038,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2039,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2040,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2041,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2042,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2043,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2044,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2045,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2046,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2047,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2048,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2049,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2050,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2051,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2052,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2053,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2054,,,,,,1.0
AvailabilityFactor,LTS,JAM,INORG_RCY_OS,,,,2055,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2021,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2022,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2023,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2024,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2025,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2026,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2027,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2028,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2029,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2030,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2031,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2032,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2033,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2034,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2035,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2036,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2037,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2038,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2039,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2040,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2041,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2042,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2043,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2044,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2045,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2046,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2047,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2048,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2049,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2050,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2051,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2052,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2053,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2054,,,,,,1.0
AvailabilityFactor,LTS,JAM,AD,,,,2055,,,,,,1.0
AvailabilityFactor,LTS,JAM,COMPOST,,,,2021,,,,,,1.0
AvailabilityFactor,LTS,JAM,COMPOST,,,,2022,,,,,,1.0
AvailabilityFactor,LTS,JAM,COMPOST,,,,2023,,,,,,1.0
AvailabilityFactor,LTS,JAM,COMPOST,,,,2024,,,,,,1.0
AvailabilityFactor,LTS,JAM,COMPOST,,,,2025,,,,,,1.0
AvailabilityFactor,LTS,JAM,COMPOST,,,,2026,,,,,,1.0
AvailabilityFactor,LTS,JAM,COMPOST,,,,2027,,,,,,1.0
AvailabilityFactor,LTS,JAM,COMPOST,,,,2028,,,,,,1.0
AvailabilityFactor,LTS,JAM,COMPOST,,,,2029,,,,,,1.0
AvailabilityFactor,LTS,JAM,COMPOST,,,,2030,,,,,,1.0
