PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,LTS,JAM,INORG_RCY_OS,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,AD,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,COMPOST,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,LANDFILL,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,NO_CONTR_OD,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,COPROC,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,INCIN,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,OPEN_BURN,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,SIT_CLAN,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,AERO_PTAR,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,AERO_PTAR_RU,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,ANAE_LAGN,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,ANAE_LAGN_RU,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,SEPT_SYST,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,LATR,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,EFLT_DISC,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,SEWER_NO_T,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,OSS_INORG,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,OSS_ORG,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,NO_OSS_BLEND,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,NO_OSS_NO_COLL,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,INORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,ORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,BLEND_NO_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,BLEND_NO_COLL,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,INORG_SS,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,ORG_SS,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,NO_SS,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,WWWT,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,WWWOT,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,SEWERWW,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,DIRECT_DISC,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,T5TSWTSW,,,,,,,,,,1
CapacityToActivityUnit,LTS,JAM,T5TWWTWW,,,,,,,,,,1
