PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2021,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2022,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2023,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2024,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2025,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2026,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2027,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2028,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2029,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2030,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2031,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2032,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2033,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2034,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2035,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2036,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2037,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2038,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2039,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2040,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2041,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2042,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2043,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2044,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2045,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2046,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2047,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2048,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2049,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2050,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2051,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2052,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2053,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2054,,,,,,36.75
CapitalCost,LTS,JAM,INORG_RCY_OS,,,,2055,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2021,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2022,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2023,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2024,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2025,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2026,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2027,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2028,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2029,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2030,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2031,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2032,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2033,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2034,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2035,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2036,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2037,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2038,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2039,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2040,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2041,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2042,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2043,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2044,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2045,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2046,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2047,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2048,,,,,,36.75
CapitalCost,LTS,JAM,AD,,,,2049,,,,,,36.75
