PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,LTS,JAM,INORG_RCY_OS,,,,,,,,,,1
OperationalLife,LTS,JAM,AD,,,,,,,,,,1
OperationalLife,LTS,JAM,COMPOST,,,,,,,,,,1
OperationalLife,LTS,JAM,LANDFILL,,,,,,,,,,1
OperationalLife,LTS,JAM,NO_CONTR_OD,,,,,,,,,,1
OperationalLife,LTS,JAM,COPROC,,,,,,,,,,1
OperationalLife,LTS,JAM,INCIN,,,,,,,,,,1
OperationalLife,LTS,JAM,OPEN_BURN,,,,,,,,,,1
OperationalLife,LTS,JAM,SIT_CLAN,,,,,,,,,,1
OperationalLife,LTS,JAM,AERO_PTAR,,,,,,,,,,20
OperationalLife,LTS,JAM,AERO_PTAR_RU,,,,,,,,,,20
OperationalLife,LTS,JAM,ANAE_LAGN,,,,,,,,,,20
OperationalLife,LTS,JAM,ANAE_LAGN_RU,,,,,,,,,,20
OperationalLife,LTS,JAM,SEPT_SYST,,,,,,,,,,20
OperationalLife,LTS,JAM,LATR,,,,,,,,,,20
OperationalLife,LTS,JAM,EFLT_DISC,,,,,,,,,,100
OperationalLife,LTS,JAM,SEWER_NO_T,,,,,,,,,,100
OperationalLife,LTS,JAM,OSS_INORG,,,,,,,,,,1
OperationalLife,LTS,JAM,OSS_ORG,,,,,,,,,,1
OperationalLife,LTS,JAM,NO_OSS_BLEND,,,,,,,,,,1
OperationalLife,LTS,JAM,NO_OSS_NO_COLL,,,,,,,,,,1
OperationalLife,LTS,JAM,INORG_DCOLL,,,,,,,,,,1
OperationalLife,LTS,JAM,ORG_DCOLL,,,,,,,,,,1
OperationalLife,LTS,JAM,BLEND_NO_DCOLL,,,,,,,,,,1
OperationalLife,LTS,JAM,BLEND_NO_COLL,,,,,,,,,,1
OperationalLife,LTS,JAM,INORG_SS,,,,,,,,,,1
OperationalLife,LTS,JAM,ORG_SS,,,,,,,,,,1
OperationalLife,LTS,JAM,NO_SS,,,,,,,,,,1
OperationalLife,LTS,JAM,WWWT,,,,,,,,,,100
OperationalLife,LTS,JAM,WWWOT,,,,,,,,,,100
OperationalLife,LTS,JAM,SEWERWW,,,,,,,,,,100
OperationalLife,LTS,JAM,DIRECT_DISC,,,,,,,,,,100
OperationalLife,LTS,JAM,T5TSWTSW,,,,,,,,,,1
OperationalLife,LTS,JAM,T5TWWTWW,,,,,,,,,,100
