PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2021,,,,,,1.123
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2022,,,,,,1.1353
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2023,,,,,,1.1476
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2024,,,,,,1.1599
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2025,,,,,,1.1721
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2026,,,,,,1.1816
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2027,,,,,,1.191
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2028,,,,,,1.2005
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2029,,,,,,1.21
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2030,,,,,,1.2194
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2031,,,,,,1.2263
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2032,,,,,,1.2332
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2033,,,,,,1.2401
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2034,,,,,,1.247
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2035,,,,,,1.2539
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2036,,,,,,1.2584
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2037,,,,,,1.2629
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2038,,,,,,1.2674
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2039,,,,,,1.2719
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2040,,,,,,1.2764
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2041,,,,,,1.2788
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2042,,,,,,1.2811
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2043,,,,,,1.2835
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2044,,,,,,1.2859
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2045,,,,,,1.2882
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2046,,,,,,1.2887
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2047,,,,,,1.2891
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2048,,,,,,1.2896
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2049,,,,,,1.2901
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2050,,,,,,1.2905
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2051,,,,,,1.291
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2052,,,,,,1.2915
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2053,,,,,,1.2919
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2054,,,,,,1.2924
SpecifiedAnnualDemand,LTS,JAM,,E5TSWTSW,,,2055,,,,,,1.2928
SpecifiedAnnualDemand,LTS,JAM,,E5TWWTWW,,,2021,,,,,,0.0671
SpecifiedAnnualDemand,LTS,JAM,,E5TWWTWW,,,2022,,,,,,0.0673
SpecifiedAnnualDemand,LTS,JAM,,E5TWWTWW,,,2023,,,,,,0.0676
SpecifiedAnnualDemand,LTS,JAM,,E5TWWTWW,,,2024,,,,,,0.0681
SpecifiedAnnualDemand,LTS,JAM,,E5TWWTWW,,,2025,,,,,,0.0688
SpecifiedAnnualDemand,LTS,JAM,,E5TWWTWW,,,2026,,,,,,0.0698
SpecifiedAnnualDemand,LTS,JAM,,E5TWWTWW,,,2027,,,,,,0.0708
SpecifiedAnnualDemand,LTS,JAM,,E5TWWTWW,,,2028,,,,,,0.072
SpecifiedAnnualDemand,LTS,JAM,,E5TWWTWW,,,2029,,,,,,0.0735
SpecifiedAnnualDemand,LTS,JAM,,E5TWWTWW,,,2030,,,,,,0.0751
SpecifiedAnnualDemand,LTS,JAM,,E5TWWTWW,,,2031,,,,,,0.0768
SpecifiedAnnualDemand,LTS,JAM,,E5TWWTWW,,,2032,,,,,,0.0785
SpecifiedAnnualDemand,LTS,JAM,,E5TWWTWW,,,2033,,,,,,0.0804
