PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2021,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2022,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2023,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2024,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2025,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2026,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2027,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2028,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2029,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2030,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2031,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2032,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2033,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2034,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2035,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2036,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2037,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2038,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2039,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2040,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2041,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2042,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2043,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2044,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2045,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2046,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2047,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2048,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2049,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2050,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2051,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2052,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2053,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2054,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TSWTSW,,,2055,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2021,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2022,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2023,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2024,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2025,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2026,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2027,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2028,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2029,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2030,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2031,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2032,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2033,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2034,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2035,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2036,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2037,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2038,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2039,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2040,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2041,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2042,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2043,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2044,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2045,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2046,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2047,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2048,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2049,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2050,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2051,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2052,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2053,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2054,All,,,,,1
SpecifiedDemandProfile,LTS,JAM,,E5TWWTWW,,,2055,All,,,,,1
