Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
LTS,0,,COMPOST,,2026,,0.0142,0.0142,0.0142,0.0142,,,0.52185,0.408883,,,0.8946,0.68405,0.8946,,0.458395,,,,-0.829848,-0.634538,,,,,,,,0.4968,,0.8517,0.8517,,6.766417977787231e-06,,1.159957367620668e-05,1.159957367620668e-05,
LTS,0,,COMPOST,,2027,,0.0284,0.0284,0.0284,0.0284,,,1.0437,0.778825,,,1.7892,1.30295,1.7892,,0.873134,,,,-1.6597,-1.20864,,,,,,,,0.9459,,1.6216,1.6216,,1.3075203821811076e-05,,2.24146351231047e-05,2.24146351231047e-05,
LTS,0,,COMPOST,,2028,,0.0427,0.0427,0.0427,0.0427,,,1.56923,1.11522,,,2.6901,1.86573,2.6901,,1.25026,,,,-2.49539,-1.73069,,,,,,,,1.354,,2.3212,2.3212,,1.8994113837199034e-05,,3.2561234257214764e-05,3.2561234257214764e-05,
LTS,0,,COMPOST,,2029,,0.0569,0.0569,0.0569,0.0569,,,2.09107,1.41532,,,3.5847,2.36779,3.5847,,1.5867,,,,-3.32524,-2.19641,,,,,,,,1.7177,,2.9447,2.9447,,2.445460519964654e-05,,4.192228058322914e-05,4.192228058322914e-05,
LTS,0,,COMPOST,,2030,,0.0711,0.0711,0.0711,0.0711,,,2.61293,1.68431,,,4.4793,2.81781,4.4793,,1.88827,,,,-4.15508,-2.61385,,,,,,,,2.0434,,3.503,3.503,,2.9524293223208007e-05,,5.0612977245741614e-05,5.0612977245741614e-05,
LTS,0,,COMPOST,,2031,,0.0853,0.0853,0.0853,0.0853,,,3.13477,1.92448,,,5.3739,3.2196,5.3739,,2.15752,,,,-4.98493,-2.98656,,,,,,,,2.3339,,4.0009,4.0009,,3.422292037319785e-05,,5.8667957072936114e-05,5.8667957072936114e-05,
LTS,0,,COMPOST,,2032,,0.0995,0.0995,0.0995,0.0995,,,3.65663,2.13795,,,6.2685,3.57673,6.2685,,2.39684,,,,-5.81478,-3.31785,,,,,,,,2.5918,,4.443,4.443,,3.85702144137909e-05,,6.612027715487984e-05,6.612027715487984e-05,
LTS,0,,COMPOST,,2033,,0.1137,0.1137,0.1137,0.1137,,,4.17848,2.32673,,,7.1631,3.89256,7.1631,,2.60848,,,,-6.64463,-3.61081,,,,,,,,2.8196,,4.8335,4.8335,,4.258425101292404e-05,,7.300148581079151e-05,7.300148581079151e-05,
LTS,0,,COMPOST,,2034,,0.128,0.128,0.128,0.128,,,4.704,2.49463,,,8.064,4.17345,8.064,,2.79671,,,,-7.48032,-3.87137,,,,,,,,3.0219,,5.1803,5.1803,,4.631883724187957e-05,,7.940372098607927e-05,7.940372098607927e-05,
LTS,0,,COMPOST,,2035,,0.1422,0.1422,0.1422,0.1422,,,5.22585,2.63941,,,8.9586,4.41566,8.9586,,2.95902,,,,-8.31017,-4.09605,,,,,,,,3.196,,5.4789,5.4789,,4.971723019169139e-05,,8.522953747147095e-05,8.522953747147095e-05,
LTS,0,,COMPOST,,2036,,0.1564,0.1564,0.1564,0.1564,,,5.7477,2.76474,,,9.8532,4.62533,9.8532,,3.09953,,,,-9.14002,-4.29055,,,,,,,,3.3465,,5.7369,5.7369,,5.2832812205579226e-05,,9.057053520956438e-05,9.057053520956438e-05,
