Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,NO_CONTR_OD,,2021,,0.7188,0.7188,0.7188,0.7188,,,,,,,31.7746,31.0088,31.7746,,116.087,,,,87.1795,85.0784,,,,,,,,,,38.6811,38.6811,,,,0.0004672460443503,0.0004672460443503,
BAU,0,,NO_CONTR_OD,,2022,,0.7266,0.7266,0.7266,0.7266,,,,,,,32.1194,29.8526,32.1194,,110.916,,,,87.2182,81.0631,,,,,,,,,,37.2247,37.2247,,,,0.0004547300167058,0.0004547300167058,
BAU,0,,NO_CONTR_OD,,2023,,0.7345,0.7345,0.7345,0.7345,,,,,,,32.4686,28.7402,32.4686,,105.966,,,,87.2437,77.2255,,,,,,,,,,35.8239,35.8239,,,,0.0004667644225931,0.0004667644225931,
BAU,0,,NO_CONTR_OD,,2024,,0.7423,0.7423,0.7423,0.7423,,,,,,,32.8134,27.6623,32.8134,,101.189,,,,87.2188,73.5271,,,,,,,,,,34.4672,34.4672,,,,0.0004557692976803,0.0004557692976803,
BAU,0,,NO_CONTR_OD,,2025,,0.7502,0.7502,0.7502,0.7502,,,,,,,33.1626,26.6254,33.1626,,96.6041,,,,87.1601,69.9787,,,,,,,,,,33.1626,33.1626,,,,0.0004450430837965,0.0004450430837965,
BAU,0,,NO_CONTR_OD,,2026,,0.7562,0.7562,0.7562,0.7562,,,,,,,33.4278,25.5604,33.4278,,92.1155,,,,87.0408,66.5552,,,,,,,,,,31.8239,31.8239,,,,0.000433431957225,0.000433431957225,
BAU,0,,NO_CONTR_OD,,2027,,0.7623,0.7623,0.7623,0.7623,,,,,,,33.6975,24.5396,33.6975,,87.8201,,,,86.8962,63.2805,,,,,,,,,,30.5414,30.5414,,,,0.0004221535697858,0.0004221535697858,
BAU,0,,NO_CONTR_OD,,2028,,0.7683,0.7683,0.7683,0.7683,,,,,,,33.9627,23.555,33.9627,,83.6972,,,,86.716,60.1422,,,,,,,,,,29.3048,29.3048,,,,0.0004110878520157,0.0004110878520157,
BAU,0,,NO_CONTR_OD,,2029,,0.7744,0.7744,0.7744,0.7744,,,,,,,34.2324,22.6114,34.2324,,79.7617,,,,86.5222,57.1503,,,,,,,,,,28.1202,28.1202,,,,0.0004003404128204,0.0004003404128204,
BAU,0,,NO_CONTR_OD,,2030,,0.7804,0.7804,0.7804,0.7804,,,,,,,34.4976,21.7015,34.4976,,75.9827,,,,86.2874,54.2812,,,,,,,,,,26.9783,26.9783,,,,0.0003897989069347,0.0003897989069347,
BAU,0,,NO_CONTR_OD,,2031,,0.7848,0.7848,0.7848,0.7848,,,,,,,34.6921,20.7847,34.6921,,72.3266,,,,86.0297,51.5419,,,,,,,,,,25.8287,25.8287,,,,0.000378740697365,0.000378740697365,
BAU,0,,NO_CONTR_OD,,2032,,0.7893,0.7893,0.7893,0.7893,,,,,,,34.891,19.9084,34.891,,68.8352,,,,85.7479,48.9268,,,,,,,,,,24.7304,24.7304,,,,0.0003680310425478,0.0003680310425478,
BAU,0,,NO_CONTR_OD,,2033,,0.7937,0.7937,0.7937,0.7937,,,,,,,35.0855,19.0661,35.0855,,65.4842,,,,85.4188,46.4181,,,,,,,,,,23.675,23.675,,,,0.0003575677612227,0.0003575677612227,
BAU,0,,NO_CONTR_OD,,2034,,0.7981,0.7981,0.7981,0.7981,,,,,,,35.28,18.2588,35.28,,62.279,,,,85.0563,44.0201,,,,,,,,,,22.664,22.664,,,,0.000347391279314,0.000347391279314,
BAU,0,,NO_CONTR_OD,,2035,,0.8025,0.8025,0.8025,0.8025,,,,,,,35.4745,17.4852,35.4745,,59.2148,,,,84.662,41.7295,,,,,,,,,,21.6955,21.6955,,,,0.0003374941650516,0.0003374941650516,
BAU,0,,NO_CONTR_OD,,2036,,0.8054,0.8054,0.8054,0.8054,,,,,,,35.6027,16.7128,35.6027,,56.2562,,,,84.2381,39.5434,,,,,,,,,,20.7291,20.7291,,,,0.0003272597322601,0.0003272597322601,
BAU,0,,NO_CONTR_OD,,2037,,0.8083,0.8083,0.8083,0.8083,,,,,,,35.7309,15.9743,35.7309,,53.427,,,,83.7735,37.4527,,,,,,,,,,19.8056,19.8056,,,,0.0003173315416712,0.0003173315416712,
BAU,0,,NO_CONTR_OD,,2038,,0.8112,0.8112,0.8112,0.8112,,,,,,,35.8591,15.2682,35.8591,,50.7278,,,,83.2812,35.4597,,,,,,,,,,18.9229,18.9229,,,,0.0003077005848439,0.0003077005848439,
BAU,0,,NO_CONTR_OD,,2039,,0.814,0.814,0.814,0.814,,,,,,,35.9829,14.5913,35.9829,,48.1482,,,,82.7531,33.5569,,,,,,,,,,18.0772,18.0772,,,,0.0002983216335395,0.0002983216335395,
BAU,0,,NO_CONTR_OD,,2040,,0.8169,0.8169,0.8169,0.8169,,,,,,,36.1111,13.946,36.1111,,45.6944,,,,82.2079,31.7484,,,,,,,,,,17.2711,17.2711,,,,0.000289260381529,0.000289260381529,
BAU,0,,NO_CONTR_OD,,2041,,0.8184,0.8184,0.8184,0.8184,,,,,,,36.1774,13.3063,36.1774,,43.3332,,,,81.6379,30.027,,,,,,,,,,16.4726,16.4726,,,,0.0002799917524182,0.0002799917524182,
BAU,0,,NO_CONTR_OD,,2042,,0.8199,0.8199,0.8199,0.8199,,,,,,,36.2437,12.6959,36.2437,,41.0832,,,,81.039,28.3873,,,,,,,,,,15.7109,15.7109,,,,0.0002710192032269,0.0002710192032269,
BAU,0,,NO_CONTR_OD,,2043,,0.8214,0.8214,0.8214,0.8214,,,,,,,36.31,12.1134,36.31,,38.9386,,,,80.4084,26.8252,,,,,,,,,,14.9845,14.9845,,,,0.0002623333083727,0.0002623333083727,
BAU,0,,NO_CONTR_OD,,2044,,0.8229,0.8229,0.8229,0.8229,,,,,,,36.3763,11.5577,36.3763,,36.8962,,,,79.7499,25.3386,,,,,,,,,,14.2915,14.2915,,,,0.0002539249411697,0.0002539249411697,
BAU,0,,NO_CONTR_OD,,2045,,0.8245,0.8245,0.8245,0.8245,,,,,,,36.447,11.0287,36.447,,34.9581,,,,79.0804,23.9294,,,,,,,,,,13.6322,13.6322,,,,0.0002458149399687,0.0002458149399687,
BAU,0,,NO_CONTR_OD,,2046,,0.8247,0.8247,0.8247,0.8247,,,,,,,36.4559,10.5061,36.4559,,33.0921,,,,78.373,22.586,,,,,,,,,,12.9813,12.9813,,,,0.0002375603532044,0.0002375603532044,
