Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,4,,NO_CONTR_OD,,2021,,0.7188,0.7188,0.7188,0.7188,,,,,,,31.7746,30.5751,31.7746,,114.464,,,,87.1795,83.8885,,,,,,,,,,38.6811,38.6811,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2022,,0.7266,0.7266,0.7266,0.7266,,,,,,,32.1194,28.6175,32.1194,,106.326,,,,87.2182,77.709,,,,,,,,,,37.2247,37.2247,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2023,,0.7345,0.7345,0.7345,0.7345,,,,,,,32.4686,26.7857,32.4686,,98.7596,,,,87.2437,71.9738,,,,,,,,,,35.8239,35.8239,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2024,,0.7423,0.7423,0.7423,0.7423,,,,,,,32.8134,25.065,32.8134,,91.6884,,,,87.2188,66.6234,,,,,,,,,,34.4672,34.4672,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2025,,0.7502,0.7502,0.7502,0.7502,,,,,,,33.1626,23.4553,33.1626,,85.1021,,,,87.1601,61.6468,,,,,,,,,,33.1626,33.1626,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2026,,0.773739,0.773739,0.773739,0.773739,,,,,,,34.2031,22.3993,34.2031,,80.7237,,,,89.0596,58.3243,,,,,,,,,,32.562,32.562,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2027,,0.791324,0.791324,0.791324,0.791324,,,,,,,34.9805,21.2115,34.9805,,75.9099,,,,90.2047,54.6984,,,,,,,,,,31.7042,31.7042,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2028,,0.808805,0.808805,0.808805,0.808805,,,,,,,35.7532,20.0742,35.7532,,71.3289,,,,91.2877,51.2547,,,,,,,,,,30.8497,30.8497,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2029,,0.826392,0.826392,0.826392,0.826392,,,,,,,36.5307,18.9913,36.5307,,66.9919,,,,92.3312,48.0006,,,,,,,,,,30.0081,30.0081,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2030,,0.843871,0.843871,0.843871,0.843871,,,,,,,37.3033,17.9565,37.3033,,62.8704,,,,93.3053,44.9139,,,,,,,,,,29.1725,29.1725,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2031,,0.861395,0.861395,0.861395,0.861395,,,,,,,38.0779,16.9716,38.0779,,59.0581,,,,94.426,42.0864,,,,,,,,,,28.3495,28.3495,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2032,,0.879029,0.879029,0.879029,0.879029,,,,,,,38.8575,16.0362,38.8575,,55.4466,,,,95.4959,39.4105,,,,,,,,,,27.5418,27.5418,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2033,,0.896552,0.896552,0.896552,0.896552,,,,,,,39.6321,15.1443,39.6321,,52.0146,,,,96.4879,36.8702,,,,,,,,,,26.743,26.743,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2034,,0.914076,0.914076,0.914076,0.914076,,,,,,,40.4067,14.2966,40.4067,,48.7642,,,,97.4163,34.4676,,,,,,,,,,25.9574,25.9574,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2035,,0.931599,0.931599,0.931599,0.931599,,,,,,,41.1813,13.4914,41.1813,,45.6893,,,,98.2816,32.1979,,,,,,,,,,25.1856,25.1856,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2036,,0.949158,0.949158,0.949158,0.949158,,,,,,,41.9575,12.7275,41.9575,,42.8413,,,,99.2739,30.1139,,,,,,,,,,24.4291,24.4291,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2037,,0.966717,0.966717,0.966717,0.966717,,,,,,,42.7337,12.0027,42.7337,,40.1438,,,,100.192,28.1411,,,,,,,,,,23.6872,23.6872,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2038,,0.984277,0.984277,0.984277,0.984277,,,,,,,43.51,11.3155,43.51,,37.5952,,,,101.05,26.2797,,,,,,,,,,22.9603,22.9603,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2039,,1.00171,1.00171,1.00171,1.00171,,,,,,,44.2808,10.6629,44.2808,,35.1854,,,,101.837,24.5225,,,,,,,,,,22.2459,22.2459,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2040,,1.01927,1.01927,1.01927,1.01927,,,,,,,45.057,10.0461,45.057,,32.9165,,,,102.574,22.8703,,,,,,,,,,21.5497,21.5497,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2041,,1.0368,1.0368,1.0368,1.0368,,,,,,,45.832,9.46197,45.832,,30.8139,,,,103.424,21.3519,,,,,,,,,,20.8686,20.8686,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2042,,1.05433,1.05433,1.05433,1.05433,,,,,,,46.6069,8.90921,46.6069,,28.8297,,,,104.211,19.9205,,,,,,,,,,20.2032,20.2032,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2043,,1.07186,1.07186,1.07186,1.07186,,,,,,,47.3818,8.38642,47.3818,,26.9582,,,,104.927,18.5717,,,,,,,,,,19.5536,19.5536,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2044,,1.08939,1.08939,1.08939,1.08939,,,,,,,48.1567,7.8922,48.1567,,25.1948,,,,105.577,17.3026,,,,,,,,,,18.9198,18.9198,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2045,,1.10706,1.10706,1.10706,1.10706,,,,,,,48.9375,7.42608,48.9375,,23.5387,,,,106.181,16.1126,,,,,,,,,,18.3041,18.3041,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2046,,1.12447,1.12447,1.12447,1.12447,,,,,,,49.707,6.98412,49.707,,21.9986,,,,106.86,15.0145,,,,,,,,,,17.6998,17.6998,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2047,,1.14201,1.14201,1.14201,1.14201,,,,,,,50.4825,6.56767,50.4825,,20.5527,,,,107.496,13.985,,,,,,,,,,17.1134,17.1134,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2048,,1.15955,1.15955,1.15955,1.15955,,,,,,,51.2579,6.17459,51.2579,,19.194,,,,108.08,13.0194,,,,,,,,,,16.5425,16.5425,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2049,,1.17709,1.17709,1.17709,1.17709,,,,,,,52.0334,5.8037,52.0334,,17.9173,,,,108.605,12.1136,,,,,,,,,,15.9871,15.9871,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2050,,1.19464,1.19464,1.19464,1.19464,,,,,,,52.8089,5.45389,52.8089,,16.7194,,,,109.082,11.2655,,,,,,,,,,15.4468,15.4468,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2051,,1.21218,1.21218,1.21218,1.21218,,,,,,,53.5844,5.12405,53.5844,,15.5966,,,,109.516,10.4726,,,,,,,,,,14.9216,14.9216,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2052,,1.22972,1.22972,1.22972,1.22972,,,,,,,54.3598,4.81316,54.3598,,14.5433,,,,109.893,9.73019,,,,,,,,,,14.4112,14.4112,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2053,,1.24726,1.24726,1.24726,1.24726,,,,,,,55.1353,4.5202,55.1353,,13.5551,,,,110.204,9.03494,,,,,,,,,,13.9155,13.9155,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2054,,1.26481,1.26481,1.26481,1.26481,,,,,,,55.9108,4.24424,55.9108,,12.6281,,,,110.444,8.38389,,,,,,,,,,13.4341,13.4341,,,,nan,nan,
BAU,4,,NO_CONTR_OD,,2055,,1.28235,1.28235,1.28235,1.28235,,,,,,,56.6863,3.98436,56.6863,,11.7595,,,,110.619,7.77515,,,,,,,,,,12.9669,12.9669,,,,nan,nan,
BAU,4,,OPEN_BURN,,2021,,0.3884,0.3884,0.3884,0.3884,,,,,,,,,,,32.1078,,,,33.3674,32.1078,,,,,,,,,,,,,,,,,
BAU,4,,OPEN_BURN,,2022,,0.3926,0.3926,0.3926,0.3926,,,,,,,,,,,29.7416,,,,33.381,29.7416,,,,,,,,,,,,,,,,,
BAU,4,,OPEN_BURN,,2023,,0.3968,0.3968,0.3968,0.3968,,,,,,,,,,,27.5418,,,,33.385,27.5418,,,,,,,,,,,,,,,,,
BAU,4,,OPEN_BURN,,2024,,0.4011,0.4011,0.4011,0.4011,,,,,,,,,,,25.4999,,,,33.3827,25.4999,,,,,,,,,,,,,,,,,
BAU,4,,OPEN_BURN,,2025,,0.4054,0.4054,0.4054,0.4054,,,,,,,,,,,23.5969,,,,33.3628,23.5969,,,,,,,,,,,,,,,,,
BAU,4,,OPEN_BURN,,2026,,0.418077,0.418077,0.418077,0.418077,,,,,,,,,,,22.3228,,,,34.0863,22.3228,,,,,,,,,,,,,,,,,
BAU,4,,OPEN_BURN,,2027,,0.427583,0.427583,0.427583,0.427583,,,,,,,,,,,20.9353,,,,34.5249,20.9353,,,,,,,,,,,,,,,,,
BAU,4,,OPEN_BURN,,2028,,0.43709,0.43709,0.43709,0.43709,,,,,,,,,,,19.62,,,,34.9443,19.62,,,,,,,,,,,,,,,,,
BAU,4,,OPEN_BURN,,2029,,0.446491,0.446491,0.446491,0.446491,,,,,,,,,,,18.3701,,,,35.3356,18.3701,,,,,,,,,,,,,,,,,
BAU,4,,OPEN_BURN,,2030,,0.455998,0.455998,0.455998,0.455998,,,,,,,,,,,17.1911,,,,35.7133,17.1911,,,,,,,,,,,,,,,,,
BAU,4,,OPEN_BURN,,2031,,0.465491,0.465491,0.465491,0.465491,,,,,,,,,,,16.1098,,,,36.1442,16.1098,,,,,,,,,,,,,,,,,
