Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
LTS,22,,COMPOST,,2026,,0.0144917,0.0144917,0.0144917,0.0144917,,,0.532568,0.362457,,,0.912974,0.597899,0.912974,,0.405734,,,,-0.846892,-0.554623,,,,,,,,0.507,,0.8692,0.8692,,nan,,nan,nan,
LTS,22,,COMPOST,,2027,,0.0293333,0.0293333,0.0293333,0.0293333,,,1.078,0.679321,,,1.848,1.12059,1.848,,0.760431,,,,-1.71424,-1.03948,,,,,,,,0.977,,1.6749,1.6749,,nan,,nan,nan,
LTS,22,,COMPOST,,2028,,0.0446174,0.0446174,0.0446174,0.0446174,,,1.63969,0.956743,,,2.8109,1.57822,2.8109,,1.07098,,,,-2.60744,-1.46398,,,,,,,,1.4148,,2.4254,2.4254,,nan,,nan,nan,
LTS,22,,COMPOST,,2029,,0.0601295,0.0601295,0.0601295,0.0601295,,,2.20976,1.19386,,,3.78816,1.96936,3.78816,,1.33641,,,,-3.51397,-1.82682,,,,,,,,1.8152,,3.1118,3.1118,,nan,,nan,nan,
LTS,22,,COMPOST,,2030,,0.0759713,0.0759713,0.0759713,0.0759713,,,2.79195,1.39667,,,4.78619,2.3039,4.78619,,1.56343,,,,-4.43976,-2.13715,,,,,,,,2.1834,,3.743,3.743,,nan,,nan,nan,
LTS,22,,COMPOST,,2031,,0.0923195,0.0923195,0.0923195,0.0923195,,,3.39274,1.5715,,,5.81613,2.5923,5.81613,,1.75913,,,,-5.39515,-2.40466,,,,,,,,2.5259,,4.3302,4.3302,,nan,,nan,nan,
LTS,22,,COMPOST,,2032,,0.109044,0.109044,0.109044,0.109044,,,4.00735,1.71869,,,6.86975,2.8351,6.86975,,1.92389,,,,-6.37251,-2.62989,,,,,,,,2.8404,,4.8692,4.8692,,nan,,nan,nan,
LTS,22,,COMPOST,,2033,,0.126137,0.126137,0.126137,0.126137,,,4.63555,1.84084,,,7.94666,3.0366,7.94666,,2.06063,,,,-7.37147,-2.81681,,,,,,,,3.128,,5.3622,5.3622,,nan,,nan,nan,
LTS,22,,COMPOST,,2034,,0.143707,0.143707,0.143707,0.143707,,,5.28124,1.9419,,,9.05355,3.2033,9.05355,,2.17376,,,,-8.39824,-2.97145,,,,,,,,3.3927,,5.816,5.816,,nan,,nan,nan,
LTS,22,,COMPOST,,2035,,0.161523,0.161523,0.161523,0.161523,,,5.93598,2.02097,,,10.176,3.33374,10.176,,2.26227,,,,-9.43943,-3.09244,,,,,,,,3.6303,,6.2234,6.2234,,nan,,nan,nan,
LTS,22,,COMPOST,,2036,,0.180034,0.180034,0.180034,0.180034,,,6.61625,2.08572,,,11.3421,3.44054,11.3421,,2.33475,,,,-10.5212,-3.19151,,,,,,,,3.8522,,6.6038,6.6038,,nan,,nan,nan,
LTS,22,,COMPOST,,2037,,0.198958,0.198958,0.198958,0.198958,,,7.31172,2.13422,,,12.5344,3.52055,12.5344,,2.38904,,,,-11.6271,-3.26573,,,,,,,,4.0529,,6.9478,6.9478,,nan,,nan,nan,
LTS,22,,COMPOST,,2038,,0.218292,0.218292,0.218292,0.218292,,,8.02224,2.16816,,,13.7524,3.57654,13.7524,,2.42704,,,,-12.757,-3.31767,,,,,,,,4.2334,,7.2572,7.2572,,nan,,nan,nan,
LTS,22,,COMPOST,,2039,,0.238151,0.238151,0.238151,0.238151,,,8.75205,2.19019,,,15.0035,3.61288,15.0035,,2.4517,,,,-13.9175,-3.35138,,,,,,,,4.3969,,7.5375,7.5375,,nan,,nan,nan,
LTS,22,,COMPOST,,2040,,0.258292,0.258292,0.258292,0.258292,,,9.49224,2.19947,,,16.2724,3.62818,16.2724,,2.46208,,,,-15.0946,-3.36557,,,,,,,,4.5399,,7.7827,7.7827,,nan,,nan,nan,
LTS,22,,COMPOST,,2041,,0.279288,0.279288,0.279288,0.279288,,,10.2638,2.20209,,,17.5951,3.6325,17.5951,,2.46501,,,,-16.3216,-3.36958,,,,,,,,4.6734,,8.0115,8.0115,,nan,,nan,nan,
LTS,22,,COMPOST,,2042,,0.300767,0.300767,0.300767,0.300767,,,11.0532,2.19578,,,18.9483,3.62209,18.9483,,2.45795,,,,-17.5768,-3.35992,,,,,,,,4.7914,,8.2137,8.2137,,nan,,nan,nan,
LTS,22,,COMPOST,,2043,,0.32268,0.32268,0.32268,0.32268,,,11.8585,2.18126,,,20.3288,3.59814,20.3288,,2.44169,,,,-18.8574,-3.3377,,,,,,,,4.8938,,8.3893,8.3893,,nan,,nan,nan,
LTS,22,,COMPOST,,2044,,0.345048,0.345048,0.345048,0.345048,,,12.6805,2.15968,,,21.738,3.56255,21.738,,2.41754,,,,-20.1646,-3.30469,,,,,,,,4.9819,,8.5404,8.5404,,nan,,nan,nan,
LTS,22,,COMPOST,,2045,,0.368025,0.368025,0.368025,0.368025,,,13.5249,2.13287,,,23.1856,3.51832,23.1856,,2.38753,,,,-21.5074,-3.26366,,,,,,,,5.0587,,8.6721,8.6721,,nan,,nan,nan,
LTS,22,,COMPOST,,2046,,0.391874,0.391874,0.391874,0.391874,,,14.4014,2.10286,,,24.688,3.46881,24.688,,2.35393,,,,-22.9011,-3.21774,,,,,,,,5.1281,,8.791,8.791,,nan,,nan,nan,
LTS,22,,COMPOST,,2047,,0.416271,0.416271,0.416271,0.416271,,,15.298,2.06831,,,26.2251,3.41183,26.2251,,2.31526,,,,-24.3269,-3.16488,,,,,,,,5.186,,8.8902,8.8902,,nan,,nan,nan,
LTS,22,,COMPOST,,2048,,0.441153,0.441153,0.441153,0.441153,,,16.2124,2.02958,,,27.7926,3.34793,27.7926,,2.2719,,,,-25.781,-3.10561,,,,,,,,5.2323,,8.9696,8.9696,,nan,,nan,nan,
LTS,22,,COMPOST,,2049,,0.46655,0.46655,0.46655,0.46655,,,17.1457,1.98742,,,29.3927,3.2784,29.3927,,2.22472,,,,-27.2652,-3.04111,,,,,,,,5.268,,9.0308,9.0308,,nan,,nan,nan,
LTS,22,,COMPOST,,2050,,0.492639,0.492639,0.492639,0.492639,,,18.1045,1.94311,,,31.0362,3.2053,31.0362,,2.17511,,,,-28.7898,-2.9733,,,,,,,,5.2956,,9.0782,9.0782,,nan,,nan,nan,
LTS,22,,COMPOST,,2051,,0.519068,0.519068,0.519068,0.519068,,,19.0758,1.8957,,,32.7013,3.12709,32.7013,,2.12204,,,,-30.3343,-2.90075,,,,,,,,5.312,,9.1063,9.1063,,nan,,nan,nan,
LTS,22,,COMPOST,,2052,,0.546011,0.546011,0.546011,0.546011,,,20.0659,1.84638,,,34.3987,3.04574,34.3987,,2.06684,,,,-31.9089,-2.82529,,,,,,,,5.3196,,9.1194,9.1194,,nan,,nan,nan,
LTS,22,,COMPOST,,2053,,0.57351,0.57351,0.57351,0.57351,,,21.0765,1.79572,,,36.1311,2.96217,36.1311,,2.01012,,,,-33.5159,-2.74776,,,,,,,,5.3194,,9.119,9.119,,nan,,nan,nan,
LTS,22,,COMPOST,,2054,,0.601479,0.601479,0.601479,0.601479,,,22.1044,1.74379,,,37.8932,2.87651,37.8932,,1.95199,,,,-35.1505,-2.6683,,,,,,,,5.3112,,9.1049,9.1049,,nan,,nan,nan,
LTS,22,,COMPOST,,2055,,0.630009,0.630009,0.630009,0.630009,,,23.1528,1.69121,,,39.6906,2.78976,39.6906,,1.89313,,,,-36.8177,-2.58784,,,,,,,,5.2962,,9.0792,9.0792,,nan,,nan,nan,
LTS,22,,LANDFILL,,2026,,0.0222478,0.0222478,0.0222478,0.0222478,,,0.116801,0.0794926,,,1.4787,0.968386,1.4787,,1.04788,,,,,,,,,,,,,0.1112,,1.4077,1.4077,,nan,,nan,nan,
